id,original,team,surface,pronunciation,type,org_id,image,image_page
0,クリス・アーノルド,近鉄,アーノルド,アーノルド,family,0,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1dd3c59510.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1dd3c59510.svg
0,クリス・アーノルド,近鉄,クリス・アーノルド,クリス・アーノルド,full,0,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1dd3c59510.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1dd3c59510.svg
0,クリス・アーノルド,近鉄,クリス,クリス,given,0,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_1dd3c59510.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_1dd3c59510.svg
1,ロビー・アーリン,日本ハム,アーリン,アーリン,family,1,http://commons.wikimedia.org/wiki/Special:FilePath/Robbie_Erlin_on_September_3%2C_2013.jpg,https://commons.wikimedia.org/wiki/File:Robbie_Erlin_on_September_3%2C_2013.jpg
1,ロビー・アーリン,日本ハム,ロビー・アーリン,ロビー・アーリン,full,1,http://commons.wikimedia.org/wiki/Special:FilePath/Robbie_Erlin_on_September_3%2C_2013.jpg,https://commons.wikimedia.org/wiki/File:Robbie_Erlin_on_September_3%2C_2013.jpg
1,ロビー・アーリン,日本ハム,ロビー,ロビー,given,1,http://commons.wikimedia.org/wiki/Special:FilePath/Robbie_Erlin_on_September_3%2C_2013.jpg,https://commons.wikimedia.org/wiki/File:Robbie_Erlin_on_September_3%2C_2013.jpg
2,阿井英二郎,ヤクルト-ロッテ,阿井,アイ,family,2,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_d713522165.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_d713522165.svg
2,阿井英二郎,ヤクルト-ロッテ,阿井英二郎,アイエイジロウ,full,2,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_d713522165.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_d713522165.svg
2,阿井英二郎,ヤクルト-ロッテ,英二郎,エイジロウ,given,2,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_d713522165.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_d713522165.svg
3,阿井利治,国鉄,阿井,アイ,family,3,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_a0d5509682.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_a0d5509682.svg
3,阿井利治,国鉄,阿井利治,アイトシハル,full,3,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_a0d5509682.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_a0d5509682.svg
3,阿井利治,国鉄,利治,トシハル,given,3,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_a0d5509682.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_a0d5509682.svg
4,相内誠(誠),西武,相内,アイウチ,family,4,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_8a6ad1f997.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_8a6ad1f997.svg
4,相内誠(誠),西武,相内誠,アイウチマコト,full,4,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_8a6ad1f997.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_8a6ad1f997.svg
4,相内誠(誠),西武,誠,マコト,given,4,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_8a6ad1f997.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_8a6ad1f997.svg
4,誠(相内誠),西武,誠,マコト,registered,6851,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_287b14fd38.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_287b14fd38.svg
5,相方裕二,南海,相方,アイカタ,family,5,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2a5ad86206.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2a5ad86206.svg
5,相方裕二,南海,相方裕二,アイカタユウジ,full,5,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2a5ad86206.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2a5ad86206.svg
5,相方裕二,南海,裕二,ユウジ,given,5,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_2a5ad86206.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_2a5ad86206.svg
6,相川賢一,巨人,相川,アイカワ,family,6,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_9987b671dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_9987b671dc.svg
6,相川賢一,巨人,相川賢一,アイカワケンイチ,full,6,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_9987b671dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_9987b671dc.svg
6,相川賢一,巨人,賢一,ケンイチ,given,6,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_9987b671dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_9987b671dc.svg
7,相川進,中日-近鉄,相川,アイカワ,family,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
7,相川進,中日-近鉄,相川進,アイカワススム,full,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
7,相川進,中日-近鉄,進,ススム,given,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
