id,original,surface,pronunciation,type,image,image_page,title,org_name,role_in_org,first_year,species,cv_name,description
0,エイリオス,エイリオス,エイリオス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,頭目,1997,human,水野颯洛,蒼天髑髏団頭目の実弟、セレス号頭目
0,エイリオス,エイリオス,エイリオス,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,頭目,1997,human,水野颯洛,蒼天髑髏団頭目の実弟、セレス号頭目
1,リュナ,リュナ,リュナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,参謀,1997,human,碧川瑞世,航路設計も担う理知派参謀
1,リュナ,リュナ,リュナ,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,参謀,1997,human,碧川瑞世,航路設計も担う理知派参謀
2,ギド,ギド,ギド,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,古株,1997,human,守山巧司,セレス号創設期から残る最古参人間クルー
2,ギド,ギド,ギド,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,古株,1997,human,守山巧司,セレス号創設期から残る最古参人間クルー
3,フィオナ,フィオナ,フィオナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0004.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,紅一点,1997,human,新屋園花,髑髏団サビア宿敵少女戦士
3,フィオナ,フィオナ,フィオナ,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0004.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,紅一点,1997,human,新屋園花,髑髏団サビア宿敵少女戦士
4,クラウス,クラウス,クラウス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0005.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2000,beastfolk,白河樹成,クラウスの宿敵女性幹部
4,クラウス,クラウス,クラウス,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0005.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2000,beastfolk,白河樹成,クラウスの宿敵女性幹部
5,ネリス,ネリス,ネリス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0006.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2005,human,東雲梨結,セレス号屈指の武芸者、冷静沈着な戦闘員
5,ネリス,ネリス,ネリス,call,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-anime-character-v2/ac_0006.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-anime-character-v2,蒼穹の螺旋航路,空船団セレスティア号クルー,戦闘員,2005,human,東雲梨結,セレス号屈指の武芸者、冷静沈着な戦闘員
