id,original,surface,pronunciation,type,image,image_page,birth_year,death_year,nationality,field,achievement
0,タフリマ・アルシャーン,タフリマ,タフリマ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前3世紀,不明,イラン,光学,天然鉱石と光の拡散関係の初期論説
0,タフリマ・アルシャーン,タフリマ・アルシャーン,タフリマ・アルシャーン,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前3世紀,不明,イラン,光学,天然鉱石と光の拡散関係の初期論説
0,タフリマ・アルシャーン,アルシャーン,アルシャーン,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0001.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前3世紀,不明,イラン,光学,天然鉱石と光の拡散関係の初期論説
1,ルキウス・ヴェリウス,ヴェリウス,ヴェリウス,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,イタリア,力学,焼成粘土による軸受構造の工夫
1,ルキウス・ヴェリウス,ルキウス・ヴェリウス,ルキウス・ヴェリウス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,イタリア,力学,焼成粘土による軸受構造の工夫
1,ルキウス・ヴェリウス,ルキウス,ルキウス,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0002.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,イタリア,力学,焼成粘土による軸受構造の工夫
2,アジャヤナ,アジャヤナ,アジャヤナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0003.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前4世紀,不明,インド,力学,吊り下げ体振動周期の記述と応用法
3,デマス,デマス,デマス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0004.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前4世紀後半,不明,ギリシャ,力学,複合単純機械の運動理論構築
4,ネフェルイム,ネフェルイム,ネフェルイム,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0005.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前2世紀,不明,エジプト,天文学・宇宙論,恒星の光度が農作業暦に与える影響の系統的記述
5,エウクラニア,エウクラニア,エウクラニア,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0006.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前2世紀,不明,ギリシャ,天文学・宇宙論,惑星運動の円環模型提唱
6,賈思遠,賈,か,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0007.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,中国,天文学・宇宙論,気象現象観測を用いた暦法改訂法の構築
6,賈思遠,賈思遠,かしえん,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0007.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,中国,天文学・宇宙論,気象現象観測を用いた暦法改訂法の構築
6,賈思遠,思遠,しえん,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0007.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前1世紀,不明,中国,天文学・宇宙論,気象現象観測を用いた暦法改訂法の構築
7,カリノス,カリノス,カリノス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0008.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前4世紀,不明,ギリシャ,数学・幾何学,陶器分割図形による面積比の公式化
8,クラウディア・セレナ,クラウディア,クラウディア,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0009.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前4世紀,不明,イタリア,自然哲学,地下環境と植生発達の自然哲学的分析
8,クラウディア・セレナ,クラウディア・セレナ,クラウディア・セレナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0009.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前4世紀,不明,イタリア,自然哲学,地下環境と植生発達の自然哲学的分析
8,クラウディア・セレナ,セレナ,セレナ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0009.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前4世紀,不明,イタリア,自然哲学,地下環境と植生発達の自然哲学的分析
9,クリスタゴラス,クリスタゴラス,クリスタゴラス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0010.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,紀元前3世紀,不明,ギリシャ,自然哲学,潮汐と鉱物生成の関係に関する自然哲学的考察
10,カリスタ,カリスタ,カリスタ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0011.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前4世紀,不明,ギリシャ,自然哲学,空気運動と音響現象の連関に関する初期理論
11,セミュロス,セミュロス,セミュロス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0012.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,前4世紀,不明,ギリシャ,自然哲学,河川物質循環と大地形成過程の概念提示
