id,original,team,surface,pronunciation,type,category,scope,wikidata,image,image_page,position,description
0,アイメン・タハール,サガン鳥栖,アイメン・タハール,アイメン タハール,full,player,jleague,Q4831487,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_97a426cf30.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_97a426cf30.svg,MF,NA。
0,アイメン・タハール,サガン鳥栖,アイメン・タハール,タハール,family,player,jleague,Q4831487,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_97a426cf30.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_97a426cf30.svg,MF,NA。
0,アイメン・タハール,サガン鳥栖,アイメン・タハール,アイメン,given,player,jleague,Q4831487,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_97a426cf30.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_97a426cf30.svg,MF,NA。
1,アイルトン・グラシリアーノ・ドス・サントス,東京ヴェルディ1969,アイルトン・グラシリアーノ・ドス・サントス,アイルトン グラシリアーノ ドス サントス,full,player,jleague,Q1028083,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_761130306d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_761130306d.svg,MF,NA。
1,アイルトン・グラシリアーノ・ドス・サントス,東京ヴェルディ1969,アイルトン・グラシリアーノ・ドス・サントス,サントス,family,player,jleague,Q1028083,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_761130306d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_761130306d.svg,MF,NA。
1,アイルトン・グラシリアーノ・ドス・サントス,東京ヴェルディ1969,アイルトン・グラシリアーノ・ドス・サントス,アイルトン,given,player,jleague,Q1028083,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_761130306d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_761130306d.svg,MF,NA。
2,アイルトン・デ・オリベイラ・モデスト,川崎フロンターレ,アイルトン・デ・オリベイラ・モデスト,アイルトン デ オリベイラ モデスト,full,player,jleague,Q458481,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e9110b54cb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e9110b54cb.svg,MF,NA。
2,アイルトン・デ・オリベイラ・モデスト,川崎フロンターレ,アイルトン・デ・オリベイラ・モデスト,モデスト,family,player,jleague,Q458481,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e9110b54cb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e9110b54cb.svg,MF,NA。
2,アイルトン・デ・オリベイラ・モデスト,川崎フロンターレ,アイルトン・デ・オリベイラ・モデスト,アイルトン,given,player,jleague,Q458481,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e9110b54cb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e9110b54cb.svg,MF,NA。
3,アイルトン・ドス・サントス・フェラス,柏レイソル,アイルトン・ドス・サントス・フェラス,アイルトン ドス サントス フェラス,full,player,jleague,Q4833254,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%ADlton_Ferraz.JPG,https://commons.wikimedia.org/wiki/File:A%C3%ADlton_Ferraz.JPG,MF,NA。
3,アイルトン・ドス・サントス・フェラス,柏レイソル,アイルトン・ドス・サントス・フェラス,フェラス,family,player,jleague,Q4833254,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%ADlton_Ferraz.JPG,https://commons.wikimedia.org/wiki/File:A%C3%ADlton_Ferraz.JPG,MF,NA。
3,アイルトン・ドス・サントス・フェラス,柏レイソル,アイルトン・ドス・サントス・フェラス,アイルトン,given,player,jleague,Q4833254,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%ADlton_Ferraz.JPG,https://commons.wikimedia.org/wiki/File:A%C3%ADlton_Ferraz.JPG,MF,NA。
4,アウグスト・セザル・ドス・サントス・モレイラ,松本山雅FC,アウグスト・セザル・ドス・サントス・モレイラ,アウグスト セザル ドス サントス モレイラ,full,player,jleague,Q15830938,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto_C%C3%A9sar.jpg,https://commons.wikimedia.org/wiki/File:Augusto_C%C3%A9sar.jpg,MF,NA。
4,アウグスト・セザル・ドス・サントス・モレイラ,松本山雅FC,アウグスト・セザル・ドス・サントス・モレイラ,モレイラ,family,player,jleague,Q15830938,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto_C%C3%A9sar.jpg,https://commons.wikimedia.org/wiki/File:Augusto_C%C3%A9sar.jpg,MF,NA。
4,アウグスト・セザル・ドス・サントス・モレイラ,松本山雅FC,アウグスト・セザル・ドス・サントス・モレイラ,アウグスト,given,player,jleague,Q15830938,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto_C%C3%A9sar.jpg,https://commons.wikimedia.org/wiki/File:Augusto_C%C3%A9sar.jpg,MF,NA。
