id,original,surface,pronunciation,subject,level,description,image,image_page,wikidata
0,枕草子,枕草子,マクラノソウシ,国語,中学校,清少納言の随筆で中学の古典教材の定番。春はあけぼのの冒頭を暗唱する。,http://commons.wikimedia.org/wiki/Special:FilePath/Sei_Shonagon3.jpg,https://commons.wikimedia.org/wiki/File:Sei_Shonagon3.jpg,Q615137
1,平家物語,平家物語,ヘイケモノガタリ,国語,中学校,祇園精舎の鐘の声で始まる軍記物語。中学で冒頭の暗唱や敦盛の最期を学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%B9%B3%E5%AE%B6%E7%89%A9%E8%AA%9E%EF%BD%A5%E7%A5%87%E5%9C%92%E7%B2%BE%E8%88%8E%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AB.png,https://commons.wikimedia.org/wiki/File:%E5%B9%B3%E5%AE%B6%E7%89%A9%E8%AA%9E%EF%BD%A5%E7%A5%87%E5%9C%92%E7%B2%BE%E8%88%8E%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AB.png,Q830740
2,竹取物語,竹取物語,タケトリモノガタリ,国語,中学校,日本最古の物語とされるかぐや姫の話。中学一年の古典入門教材の定番。,http://commons.wikimedia.org/wiki/Special:FilePath/The_Tale_of_the_Bamboo_Cutter_-_Discovery_of_Princess_Kaguya.jpg,https://commons.wikimedia.org/wiki/File:The_Tale_of_the_Bamboo_Cutter_-_Discovery_of_Princess_Kaguya.jpg,Q923593
3,徒然草,徒然草,ツレヅレグサ,国語,中学校,兼好法師の随筆で中学の古典教材。つれづれなるままにの冒頭が有名。,http://commons.wikimedia.org/wiki/Special:FilePath/Tsurezuregusa_Codex_Shotetsu.png,https://commons.wikimedia.org/wiki/File:Tsurezuregusa_Codex_Shotetsu.png,Q1350535
4,方丈記,方丈記,ホウジョウキ,国語,中学校,鴨長明の随筆。ゆく河の流れは絶えずしての冒頭を中学で学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Hojyoki_codex_Daifukukohji.jpg,https://commons.wikimedia.org/wiki/File:Hojyoki_codex_Daifukukohji.jpg,Q636364
5,おくのほそ道,おくのほそ道,オクノホソミチ,国語,中学校,松尾芭蕉の紀行文で中学の古典教材。旅の途中で詠んだ俳句と共に読む。,http://commons.wikimedia.org/wiki/Special:FilePath/Basho_by_Hokusai-small.jpg,https://commons.wikimedia.org/wiki/File:Basho_by_Hokusai-small.jpg,Q1287971
6,万葉集,万葉集,マンヨウシュウ,国語/社会,中学校,現存最古の和歌集で中学の古典で学ぶ。防人歌や東歌が有名。,http://commons.wikimedia.org/wiki/Special:FilePath/Genryaku_Manyosyu.JPG,https://commons.wikimedia.org/wiki/File:Genryaku_Manyosyu.JPG,Q834321
7,古今和歌集,古今和歌集,コキンワカシュウ,国語,中学校,紀貫之らが編んだ最初の勅撰和歌集。中学の和歌の学習で登場する。,http://commons.wikimedia.org/wiki/Special:FilePath/Kokin_Wakashu_Okura.jpg,https://commons.wikimedia.org/wiki/File:Kokin_Wakashu_Okura.jpg,Q1047167
8,新古今和歌集,新古今和歌集,シンコキンワカシュウ,国語,中学校,鎌倉時代の勅撰和歌集で中学の和歌の単元に出てくる歌集。,http://commons.wikimedia.org/wiki/Special:FilePath/Shin_Kokin_Wakash%C5%AB1.png,https://commons.wikimedia.org/wiki/File:Shin_Kokin_Wakash%C5%AB1.png,Q659439
9,源氏物語,源氏物語,ゲンジモノガタリ,国語/社会,中学校,紫式部が書いた長編物語。中学の古典で作者と共に名前を覚える。,http://commons.wikimedia.org/wiki/Special:FilePath/Ch5_wakamurasaki.jpg,https://commons.wikimedia.org/wiki/File:Ch5_wakamurasaki.jpg,Q8269
