id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
0,アイノミドリシジミ,アイノミドリシジミ,アイノミドリシジミ,チョウ,no,チョウ目,シジミチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Macrolepidoptera01seitz_0153.jpg,https://commons.wikimedia.org/wiki/File:Macrolepidoptera01seitz_0153.jpg,Q5970733
1,アオイトトンボ,アオイトトンボ,アオイトトンボ,トンボ,no,蜻蛉目,Lestidae,http://commons.wikimedia.org/wiki/Special:FilePath/Lestes_sponsa_LC0314.jpg,https://commons.wikimedia.org/wiki/File:Lestes_sponsa_LC0314.jpg,Q635430
2,アオイラガ,アオイラガ,アオイラガ,チョウ,no,チョウ目,イラガ科,http://commons.wikimedia.org/wiki/Special:FilePath/Parasa_tessellata_%2815136363692%29.jpg,https://commons.wikimedia.org/wiki/File:Parasa_tessellata_%2815136363692%29.jpg,Q7340890
3,アオカタビロオサムシ,アオカタビロオサムシ,アオカタビロオサムシ,甲虫,no,コウチュウ目,オサムシ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_beetle.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
4,アオカナブン,アオカナブン,アオカナブン,甲虫,no,コウチュウ目,Cetoniidae,http://commons.wikimedia.org/wiki/Special:FilePath/Rhomborhina_unicolor_%2819906494502%29.jpg,https://commons.wikimedia.org/wiki/File:Rhomborhina_unicolor_%2819906494502%29.jpg,Q14878659
5,アオカブリモドキ,アオカブリモドキ,アオカブリモドキ,甲虫,no,コウチュウ目,オサムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/Carabus.smaragdinus.-.calwer.03.04.jpg,https://commons.wikimedia.org/wiki/File:Carabus.smaragdinus.-.calwer.03.04.jpg,Q1057228
6,アオクサカメムシ,アオクサカメムシ,アオクサカメムシ,カメムシ,no,カメムシ目,カメムシ科,http://commons.wikimedia.org/wiki/Special:FilePath/Pentatomidae.jpg,https://commons.wikimedia.org/wiki/File:Pentatomidae.jpg,Q21306429
7,アオクチナガヒゲボソゾウムシ,アオクチナガヒゲボソゾウムシ,アオクチナガヒゲボソゾウムシ,甲虫,no,コウチュウ目,ゾウムシ科,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_beetle.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
8,アオサナエ,アオサナエ,アオサナエ,トンボ,no,蜻蛉目,サナエトンボ科,http://commons.wikimedia.org/wiki/Special:FilePath/Nihonogomphus_viridis_from_iNaturalist_photo_520950107.jpg,https://commons.wikimedia.org/wiki/File:Nihonogomphus_viridis_from_iNaturalist_photo_520950107.jpg,Q2500862
9,アオジャコウアゲハ,アオジャコウアゲハ,アオジャコウアゲハ,チョウ,no,チョウ目,アゲハチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Battus_philenor_02.jpg,https://commons.wikimedia.org/wiki/File:Battus_philenor_02.jpg,Q1758032
