id,original,surface,pronunciation,class,vertebrate,order,family,description,image,image_page,wikidata
0,シロナガスクジラ,シロナガスクジラ,シロナガスクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,現生最大の動物で細長い体と喉のひだを広げてオキアミをこし取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q42196
1,ナガスクジラ,ナガスクジラ,ナガスクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,下顎の右側だけが白く高速で泳ぎながらオキアミや小魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q179020
2,イワシクジラ,イワシクジラ,イワシクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,鎌形の背びれを持ち外洋でカイアシ類や小魚をひげ板でこし取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q185097
3,ニタリクジラ,ニタリクジラ,ニタリクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,吻の上に三本の隆起線があり温暖な海で群れる小魚を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q221056
4,ミンククジラ,ミンククジラ,ミンククジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,胸びれの白い帯が目立ち寒冷な海でオキアミや小魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q201808
5,ザトウクジラ,ザトウクジラ,ザトウクジラ,哺乳類,脊椎動物,鯨偶蹄目,ナガスクジラ科,長い胸びれとこぶ状の頭部を持ち雄は繁殖海域で複雑な歌を発する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q132905
6,ホッキョククジラ,ホッキョククジラ,ホッキョククジラ,哺乳類,脊椎動物,鯨偶蹄目,セミクジラ科,背びれがなく厚い脂肪層と弓形の巨大な頭で北極海の氷間に暮らす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q174652
7,セミクジラ,セミクジラ,セミクジラ,哺乳類,脊椎動物,鯨偶蹄目,セミクジラ科,頭部にフジツボなどが付く硬い隆起があり海面近くの動物プランクトンを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q506604
8,コククジラ,コククジラ,コククジラ,哺乳類,脊椎動物,鯨偶蹄目,コククジラ科,海底の泥を口で吸い込み端脚類をひげ板でこし取って長距離を回遊する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q179154
9,マッコウクジラ,マッコウクジラ,マッコウクジラ,哺乳類,脊椎動物,鯨偶蹄目,マッコウクジラ科,巨大な角張った頭に脳油器官を備え深く潜って大型のイカを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q81214
10,コマッコウ,コマッコウ,コマッコウ,哺乳類,脊椎動物,鯨偶蹄目,コマッコウ科,丸い頭と小さな下顎を持ち暖海の沖合でイカや深海魚を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q244300
11,オガワコマッコウ,オガワコマッコウ,オガワコマッコウ,哺乳類,脊椎動物,鯨偶蹄目,コマッコウ科,小柄な体に高めの背びれを持ち熱帯から温帯の沖合でイカ類を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q42669
12,シャチ,シャチ,シャチ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,白黒の体と大きな背びれが目立ち家族群で魚類や海獣を協力して狩る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q26843
13,オキゴンドウ,オキゴンドウ,オキゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,細長い黒色の体と丸い頭を持ち外洋で魚やイカを群れで捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q208132
14,コビレゴンドウ,コビレゴンドウ,コビレゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,球状に盛り上がる額と短い胸びれを持ち深海性のイカを主に食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q735210
15,ハナゴンドウ,ハナゴンドウ,ハナゴンドウ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,成長とともに全身へ白い傷跡が増え深く潜ってイカ類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q203897
