id,original,surface,pronunciation,type,prefecture,parent,status,population,code,description,image,image_page,wikidata
0,札幌市,札幌市,サッポロシ,full,北海道,,current,1973395,011002,北海道の石狩振興局に属する市。道庁所在地および石狩振興局所在地。政令指定都市であり、10の行政区が置かれている。,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%AD%E5%B9%8C%E3%82%BF%E3%83%AF%E3%83%BC%E9%9B%BB%E6%B3%A2%E5%A1%94%E5%B1%95%E6%9C%9B%E5%8F%B0%E3%81%8B%E3%82%89%E6%9C%AD%E5%B9%8C%E9%A7%85%E6%96%B9%E9%9D%A2_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:%E6%9C%AD%E5%B9%8C%E3%82%BF%E3%83%AF%E3%83%BC%E9%9B%BB%E6%B3%A2%E5%A1%94%E5%B1%95%E6%9C%9B%E5%8F%B0%E3%81%8B%E3%82%89%E6%9C%AD%E5%B9%8C%E9%A7%85%E6%96%B9%E9%9D%A2_-_panoramio.jpg,Q37951
0,札幌市,札幌,サッポロ,short,北海道,,current,1973395,011002,北海道の石狩振興局に属する市。道庁所在地および石狩振興局所在地。政令指定都市であり、10の行政区が置かれている。,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9C%AD%E5%B9%8C%E3%82%BF%E3%83%AF%E3%83%BC%E9%9B%BB%E6%B3%A2%E5%A1%94%E5%B1%95%E6%9C%9B%E5%8F%B0%E3%81%8B%E3%82%89%E6%9C%AD%E5%B9%8C%E9%A7%85%E6%96%B9%E9%9D%A2_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:%E6%9C%AD%E5%B9%8C%E3%82%BF%E3%83%AF%E3%83%BC%E9%9B%BB%E6%B3%A2%E5%A1%94%E5%B1%95%E6%9C%9B%E5%8F%B0%E3%81%8B%E3%82%89%E6%9C%AD%E5%B9%8C%E9%A7%85%E6%96%B9%E9%9D%A2_-_panoramio.jpg,Q37951
1,中央区,中央区,チュウオウク,full,北海道,札幌市,current,248680,011011,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Chuo_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Chuo_Ward_Office_in_Sapporo.jpg,Q1079635
1,中央区,中央,チュウオウ,short,北海道,札幌市,current,248680,011011,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Chuo_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Chuo_Ward_Office_in_Sapporo.jpg,Q1079635
2,北区,北区,キタク,full,北海道,札幌市,current,289323,011029,札幌市の行政区。人口は札幌市10区の中で最も多い。,http://commons.wikimedia.org/wiki/Special:FilePath/Hokkaido_University.jpg,https://commons.wikimedia.org/wiki/File:Hokkaido_University.jpg,Q1134013
2,北区,北,キタ,short,北海道,札幌市,current,289323,011029,札幌市の行政区。人口は札幌市10区の中で最も多い。,http://commons.wikimedia.org/wiki/Special:FilePath/Hokkaido_University.jpg,https://commons.wikimedia.org/wiki/File:Hokkaido_University.jpg,Q1134013
3,東区,東区,ヒガシク,full,北海道,札幌市,current,265379,011037,札幌市の行政区。人口は札幌市10区の中で北区に次ぐ2番目に多い区である。,http://commons.wikimedia.org/wiki/Special:FilePath/Higashi_Ward_%282008-9-11%29-4.jpg,https://commons.wikimedia.org/wiki/File:Higashi_Ward_%282008-9-11%29-4.jpg,Q1134006
3,東区,東,ヒガシ,short,北海道,札幌市,current,265379,011037,札幌市の行政区。人口は札幌市10区の中で北区に次ぐ2番目に多い区である。,http://commons.wikimedia.org/wiki/Special:FilePath/Higashi_Ward_%282008-9-11%29-4.jpg,https://commons.wikimedia.org/wiki/File:Higashi_Ward_%282008-9-11%29-4.jpg,Q1134006
4,白石区,白石区,シロイシク,full,北海道,札幌市,current,211835,011045,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Shiroishi_Ward_Office_Complex.jpg,https://commons.wikimedia.org/wiki/File:Shiroishi_Ward_Office_Complex.jpg,Q647388
4,白石区,白石,シロイシ,short,北海道,札幌市,current,211835,011045,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Shiroishi_Ward_Office_Complex.jpg,https://commons.wikimedia.org/wiki/File:Shiroishi_Ward_Office_Complex.jpg,Q647388
