id,original,surface,pronunciation,verified,rank,listing_units,strict_rows,regions,prefectures,description,wikidata,evidence_sources
1,田中,田中,タナカ,yes,1,29218,29446,3988,20,田中は、日本の苗字のひとつ。明治新姓として農民身分が多く名乗ったことから、非常に多くの地域に亘って存在する。,Q12159869,person_lists|ndl|jmnedict
9,山本,山本,ヤマモト,yes,2,27041,27342,3963,20,日本の氏族。紀伊国の国人。,Q24090378,person_lists|ndl|jmnedict
6,中村,中村,ナカムラ,yes,3,19852,20111,3701,19,日本の氏族。郡や荘園の中心や地域の中心村落が中村と呼ばれ、そこを領したりそこに住したりした人々が中村を号したことによって、源平藤橘の出自から出自不詳まで幅広く存在している。,Q49039781,person_lists|ndl|jmnedict
7,伊藤,伊藤,イトウ,yes,4,19627,20071,3606,20,,Q6500676,person_lists|ndl|jmnedict
7,伊藤,伊藤,イロウ,yes,4,19627,20071,3606,20,,Q6500676,web_person
5,小林,小林,コバヤシ,yes,5,13696,13921,3259,20,,Q947991,person_lists|ndl|jmnedict
10,吉田,吉田,ヨシダ,yes,6,13451,13515,3073,20,日本の氏族。吉田氏（古代氏族）…孝昭天皇の子孫である彦国葺命の後裔とされる、和邇氏族の皇別氏族。姓は連。「きちだ」「きちた」「きった」などと読まれる。,Q436035,person_lists|ndl|jmnedict
16,松本,松本,マツモト,yes,7,13417,13474,3079,19,元禄5年（1692年）以来江戸幕府に仕えた医家の家系。宇多源氏を称す。家紋は波の丸ほか。本国は陸奥（会津）。善甫という名乗りを世襲した。家禄は200俵10人扶持。,Q19939021,person_lists|ndl|jmnedict
13,山田,山田,ヤマダ,yes,8,12647,12714,3060,20,,Q17058704,person_lists|ndl|jmnedict
12,井上,井上,イノウエ,yes,9,12443,12521,2880,20,井上氏は、日本の氏族のひとつ。,Q953589,person_lists|ndl|jmnedict
12,井上,井上,イトウ,no,9,12443,12521,2880,20,井上氏は、日本の氏族のひとつ。,Q953589,
20,山口,山口,ヤマグチ,yes,10,12114,12213,3135,19,,Q17041572,person_lists|ndl|jmnedict
4,鈴木,鈴木,スズキ,yes,11,11766,11933,3194,20,鈴木氏は、日本の氏族で、代表的な名字のひとつ。祭礼の際に祭られる稲穂や神社の本坪鈴に由来した神職の姓氏とされる。,Q1533615,person_lists|ndl|jmnedict
4,鈴木,鈴木,ススキ,yes,11,11766,11933,3194,20,鈴木氏は、日本の氏族で、代表的な名字のひとつ。祭礼の際に祭られる稲穂や神社の本坪鈴に由来した神職の姓氏とされる。,Q1533615,ndl|jmnedict
2,佐藤,佐藤,サトウ,yes,12,11633,11747,3094,20,佐藤氏は、日本の氏族のひとつ。京都の摂関家である藤原氏の、藤原四家の本流である藤原北家の藤原魚名の子孫であり、魚名の子孫・藤原秀郷の子孫でもある。その由来は、左衛門尉の藤原氏の略とされる他、佐野の藤原氏(藤原秀郷)、佐渡の藤原氏などの諸説がある。,Q978692,person_lists|ndl|jmnedict
3,高橋,高橋,タカハシ,yes,13,10785,10868,2853,20,日本の氏族。同音異姓に孝橋・鷹橋・高槁・高端・鷹啄・喬橋・高梁・鷹羽司がある。,Q26237928,person_lists|ndl|jmnedict
8,加藤,加藤,カトウ,yes,14,10600,10726,3057,20,加藤氏は、武家・華族だった日本の氏族。藤原氏の一族で、加藤の「加」は加賀の藤原からきたものと一般にいわれる。藤原北家道長流の子孫と称する加藤家からは加藤清正が出た。,Q15985375,person_lists|ndl|jmnedict
17,林,林,ハヤシ,yes,15,10586,10684,2865,20,,Q279372,person_lists|ndl|jmnedict
17,林,林,リン,yes,15,10586,10684,2865,20,,Q279372,person_lists|ndl|jmnedict
17,林,林,ハヤシノ,no,15,10586,10684,2865,20,,Q279372,
11,渡辺,渡辺,ワタナベ,yes,16,10095,10220,2820,20,摂津国の藤原北家秀郷流の荒木氏族。伊予国の藤原北家九条流の土佐一条氏族。渡辺氏（渡邊氏/渡邉氏、わたなべし/わたべし）は、日本の姓氏、氏族、苗字、大姓。,Q10983405,person_lists|ndl|jmnedict
18,森,森,モリ,yes,17,10049,10149,2882,19,武家・華族の家を出した日本の氏族。,Q26000622,person_lists|ndl|wikidata_person|jmnedict
30,前田,前田,マエダ,yes,18,9818,9915,2794,20,前田氏は、日本の氏族。藤原北家利仁流の系統で、美濃国安八郡前田村より起こった氏族（→美濃前田氏）。,Q20979812,person_lists|ndl|jmnedict
30,前田,前田,マエタ,yes,18,9818,9915,2794,20,前田氏は、日本の氏族。藤原北家利仁流の系統で、美濃国安八郡前田村より起こった氏族（→美濃前田氏）。,Q20979812,ndl|wikidata_person|jmnedict
43,山下,山下,ヤマシタ,yes,19,9734,9808,2801,19,,Q24090383,person_lists|ndl|jmnedict
54,西村,西村,ニシムラ,yes,20,9396,9474,2726,19,,Q24090401,person_lists|ndl|jmnedict
39,橋本,橋本,ハシモト,yes,21,9330,9397,2743,20,日本の氏族。宇多源氏佐々木氏庶流の氏族（→佐々木氏庶流の橋本氏）。桓武平氏千葉氏庶流相馬氏庶流の氏族（→相馬氏庶流の橋本氏）。,Q16870551,person_lists|ndl|jmnedict
15,木村,木村,キムラ,yes,22,8573,8615,2586,20,木村家は、大相撲の行司家の一つ。,Q20978130,person_lists|ndl|jmnedict
42,中川,中川,ナカガワ,yes,23,8557,8655,2664,18,武家・華族だった日本の氏族。1594年に豊臣秀吉に豊後国岡7万石を与えられ、江戸時代にも外様大名の岡藩主として続き、明治維新後には華族の伯爵家に列した。,Q16877751,person_lists|ndl|jmnedict
21,清水,清水,シミズ,yes,24,8225,8305,2640,20,清水氏は、日本の氏族のひとつ。主なものとして次の流れがある。,Q16883193,person_lists|ndl|jmnedict
21,清水,清水,キヨミズ,yes,24,8225,8305,2640,20,清水氏は、日本の氏族のひとつ。主なものとして次の流れがある。,Q16883193,ndl|wikidata_person|jmnedict
19,岡田,岡田,オカダ,yes,25,8126,8177,2562,19,,Q449508,person_lists|ndl|jmnedict
28,池田,池田,イケダ,yes,26,7891,7943,2512,20,池田氏は、日本の氏族。摂津池田氏 和泉国池田村（現在の大阪府和泉市）を発祥とし、摂津国と美濃国に荘官として赴任し池田荘を開いたとされる。,Q4199132,person_lists|ndl|jmnedict
34,岡本,岡本,オカモト,yes,27,7882,7929,2440,19,,Q24090405,person_lists|ndl|jmnedict
34,岡本,岡本,オカモトノ,no,27,7882,7929,2440,19,,Q24090405,
