id,original,surface,pronunciation,class,extinct,family,genus,image,image_page,wikidata
0,アアソウカイ,アアソウカイ,アアソウカイ,双子葉,no,キョウチクトウ科,パキポディウム属,http://commons.wikimedia.org/wiki/Special:FilePath/Pachypodium_geayi2.jpg,https://commons.wikimedia.org/wiki/File:Pachypodium_geayi2.jpg,Q144916
1,アイ,アイ,アイ,双子葉,no,タデ科,イヌタデ属,http://commons.wikimedia.org/wiki/Special:FilePath/Persicaria_tinctoria_bergianska.JPG,https://commons.wikimedia.org/wiki/File:Persicaria_tinctoria_bergianska.JPG,Q11833922
2,アイアシ,アイアシ,アイアシ,単子葉,no,イネ科,Phacelurus,http://commons.wikimedia.org/wiki/Special:FilePath/Phacelurus_latifolius_aiasi01.jpg,https://commons.wikimedia.org/wiki/File:Phacelurus_latifolius_aiasi01.jpg,Q5700194
3,アイオセリス・ビフローラ,アイオセリス・ビフローラ,アイオセリス・ビフローラ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
4,アイスプラント,アイスプラント,アイスプラント,双子葉,no,ハマミズナ科,メセンブリアンテマム属,http://commons.wikimedia.org/wiki/Special:FilePath/Unk_desert_flower_2.jpg,https://commons.wikimedia.org/wiki/File:Unk_desert_flower_2.jpg,Q161473
5,アイズスゲ,アイズスゲ,アイズスゲ,単子葉,no,カヤツリグサ科,スゲ属,http://commons.wikimedia.org/wiki/Special:FilePath/Carex_hondoensis_aizusg04.jpg,https://commons.wikimedia.org/wiki/File:Carex_hondoensis_aizusg04.jpg,Q15575941
6,アイズヒメアザミ,アイズヒメアザミ,アイズヒメアザミ,双子葉,no,キク科,アザミ属,http://commons.wikimedia.org/wiki/Special:FilePath/Cirsium_aidzuense_080927.JPG,https://commons.wikimedia.org/wiki/File:Cirsium_aidzuense_080927.JPG,Q5707546
7,アイナエ,アイナエ,アイナエ,双子葉,no,マチン科,アイナエ属,http://commons.wikimedia.org/wiki/Special:FilePath/Mitrasacme_pygmaea.jpg,https://commons.wikimedia.org/wiki/File:Mitrasacme_pygmaea.jpg,Q11130350
8,アイナシ,アイナシ,アイナシ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
9,アイノコレンギョウ,アイノコレンギョウ,アイノコレンギョウ,双子葉,no,モクセイ科,レンギョウ属,http://commons.wikimedia.org/wiki/Special:FilePath/Forsythia-intermedia.JPG,https://commons.wikimedia.org/wiki/File:Forsythia-intermedia.JPG,Q5470682
10,アイラトビカズラ,アイラトビカズラ,アイラトビカズラ,双子葉,no,マメ科,トビカズラ属,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%B8%B8%E6%98%A5%E6%B2%B9%E9%BA%BB%E8%97%A4_Mucuna_sempervirens_-%E6%AD%A6%E6%BC%A2%E6%A4%8D%E7%89%A9%E5%9C%92_Wuhan_Botanical_Garden-_%289200911166%29.jpg,https://commons.wikimedia.org/wiki/File:%E5%B8%B8%E6%98%A5%E6%B2%B9%E9%BA%BB%E8%97%A4_Mucuna_sempervirens_-%E6%AD%A6%E6%BC%A2%E6%A4%8D%E7%89%A9%E5%9C%92_Wuhan_Botanical_Garden-_%289200911166%29.jpg,Q5781797
11,アイリス・アフガニカ,アイリス・アフガニカ,アイリス・アフガニカ,単子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_monocot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
12,アエスクルス・パルビフローラ,アエスクルス・パルビフローラ,アエスクルス・パルビフローラ,双子葉,no,ムクロジ科,トチノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Aesculus_parviflora%2C_Coosa_WMA%2C_Alabama_1.jpg,https://commons.wikimedia.org/wiki/File:Aesculus_parviflora%2C_Coosa_WMA%2C_Alabama_1.jpg,Q162440
13,アオイスミレ,アオイスミレ,アオイスミレ,双子葉,no,スミレ科,スミレ属,http://commons.wikimedia.org/wiki/Special:FilePath/Viola_hondoensis_aoismr.jpg,https://commons.wikimedia.org/wiki/File:Viola_hondoensis_aoismr.jpg,Q11282653
14,アオイボクロ,アオイボクロ,アオイボクロ,単子葉,no,ラン科,Nervilia,http://commons.wikimedia.org/wiki/Special:FilePath/LR055_72dpi_Nervilia_aragoana.jpg,https://commons.wikimedia.org/wiki/File:LR055_72dpi_Nervilia_aragoana.jpg,Q2548050
15,アオウキクサ,アオウキクサ,アオウキクサ,単子葉,no,ウキクサ科,アオウキクサ属,http://commons.wikimedia.org/wiki/Special:FilePath/Lemna_aoukikusa.jpg,https://commons.wikimedia.org/wiki/File:Lemna_aoukikusa.jpg,Q5787953
16,アオカモジクサ,アオカモジクサ,アオカモジクサ,単子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_monocot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
17,アオガヤツリ,アオガヤツリ,アオガヤツリ,単子葉,no,カヤツリグサ科,カヤツリグサ属,http://commons.wikimedia.org/wiki/Special:FilePath/Cyperus_nipponicus.JPG,https://commons.wikimedia.org/wiki/File:Cyperus_nipponicus.JPG,Q15238000
18,アオガンピ,アオガンピ,アオガンピ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
19,アオキ,アオキ,アオキ,双子葉,no,ガリア科,アオキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Spottedlaurelmale.JPG,https://commons.wikimedia.org/wiki/File:Spottedlaurelmale.JPG,Q163114
20,アオギリ,アオギリ,アオギリ,双子葉,no,アオイ科,Firmiana,http://commons.wikimedia.org/wiki/Special:FilePath/Firmiana_simplex3.jpg,https://commons.wikimedia.org/wiki/File:Firmiana_simplex3.jpg,Q776705
21,アオゲイトウ,アオゲイトウ,アオゲイトウ,双子葉,no,ヒユ科,ヒユ属,http://commons.wikimedia.org/wiki/Special:FilePath/Amaranthus_retroflexus_full1.jpg,https://commons.wikimedia.org/wiki/File:Amaranthus_retroflexus_full1.jpg,Q157663
22,アオスゲ,アオスゲ,アオスゲ,単子葉,no,カヤツリグサ科,スゲ属,http://commons.wikimedia.org/wiki/Special:FilePath/Carex_leucochlora_Aosuge_001.jpg,https://commons.wikimedia.org/wiki/File:Carex_leucochlora_Aosuge_001.jpg,Q1021973
23,アオスズラン,アオスズラン,アオスズラン,単子葉,no,ラン科,カキラン属,http://commons.wikimedia.org/wiki/Special:FilePath/Epipactis_helleborine_flowers1_220703.jpg,https://commons.wikimedia.org/wiki/File:Epipactis_helleborine_flowers1_220703.jpg,Q157426
