id,original,surface,pronunciation,type,school_type,founder,prefecture,city,status,code,wikidata
0,北海道教育大学附属函館幼稚園,北海道教育大学附属函館幼稚園,ホッカイドウキョウイクダイガクフゾクハコダテヨウチエン,common,幼稚園,国立,北海道,函館市,current,A101110000012,Q11402759
0,北海道教育大学附属函館幼稚園,北海道教育大学附属函館,ホッカイドウキョウイクダイガクフゾクハコダテ,name,幼稚園,国立,北海道,函館市,current,A101110000012,Q11402759
1,北海道教育大学附属旭川幼稚園,北海道教育大学附属旭川幼稚園,ホッカイドウキョウイクダイガクフゾクアサヒカワヨウチエン,common,幼稚園,国立,北海道,旭川市,current,A101110000021,Q11402762
1,北海道教育大学附属旭川幼稚園,北海道教育大学附属旭川,ホッカイドウキョウイクダイガクフゾクアサヒカワ,name,幼稚園,国立,北海道,旭川市,current,A101110000021,Q11402762
2,札幌市立手稲中央幼稚園,手稲中央幼稚園,,common,幼稚園,公立,北海道,札幌市,former,A101210000010,
2,札幌市立手稲中央幼稚園,手稲中央,,name,幼稚園,公立,北海道,札幌市,former,A101210000010,
3,札幌市立中央幼稚園,中央幼稚園,,common,幼稚園,公立,北海道,札幌市,current,A101210110017,
3,札幌市立中央幼稚園,中央,,name,幼稚園,公立,北海道,札幌市,current,A101210110017,
4,札幌市立白楊幼稚園,白楊幼稚園,,common,幼稚園,公立,北海道,札幌市,current,A101210220014,
4,札幌市立白楊幼稚園,白楊,,name,幼稚園,公立,北海道,札幌市,current,A101210220014,
5,札幌市立ひがしなえぼ幼稚園,ひがしなえぼ幼稚園,,common,幼稚園,公立,北海道,札幌市,former,A101210330020,
5,札幌市立ひがしなえぼ幼稚園,ひがしなえぼ,,name,幼稚園,公立,北海道,札幌市,former,A101210330020,
6,札幌市立きくすいもとまち幼稚園,きくすいもとまち幼稚園,,common,幼稚園,公立,北海道,札幌市,current,A101210440027,
6,札幌市立きくすいもとまち幼稚園,きくすいもとまち,,name,幼稚園,公立,北海道,札幌市,current,A101210440027,
7,札幌市立かっこう幼稚園,かっこう幼稚園,,common,幼稚園,公立,北海道,札幌市,current,A101210550103,
7,札幌市立かっこう幼稚園,かっこう,,name,幼稚園,公立,北海道,札幌市,current,A101210550103,
8,札幌市立もいわ幼稚園,もいわ幼稚園,,common,幼稚園,公立,北海道,札幌市,former,A101210660011,
8,札幌市立もいわ幼稚園,もいわ,,name,幼稚園,公立,北海道,札幌市,former,A101210660011,
9,札幌市立はまなす幼稚園,はまなす幼稚園,ハマナスヨウチエン,common,幼稚園,公立,北海道,札幌市,current,A101210770027,Q11521292
9,札幌市立はまなす幼稚園,はまなす,ハマナス,name,幼稚園,公立,北海道,札幌市,current,A101210770027,Q11521292
10,札幌市立あつべつきた幼稚園,あつべつきた幼稚園,,common,幼稚園,公立,北海道,札幌市,former,A101210845028,
10,札幌市立あつべつきた幼稚園,あつべつきた,,name,幼稚園,公立,北海道,札幌市,former,A101210845028,
11,函館市立戸井幼稚園,戸井幼稚園,,common,幼稚園,公立,北海道,函館市,current,A101220200017,
11,函館市立戸井幼稚園,戸井,,name,幼稚園,公立,北海道,函館市,current,A101220200017,
12,釧路市立認定こども園阿寒幼稚園,認定こども園阿寒幼稚園,,common,幼稚園,公立,北海道,釧路市,current,A101220600193,
12,釧路市立認定こども園阿寒幼稚園,阿寒,,name,幼稚園,公立,北海道,釧路市,current,A101220600193,
13,釧路市立マリモ幼稚園,マリモ幼稚園,,common,幼稚園,公立,北海道,釧路市,current,A101220600200,
13,釧路市立マリモ幼稚園,マリモ,,name,幼稚園,公立,北海道,釧路市,current,A101220600200,
14,夕張市立ユーパロ幼稚園,ユーパロ幼稚園,,common,幼稚園,公立,北海道,夕張市,former,A101220900010,
14,夕張市立ユーパロ幼稚園,ユーパロ,,name,幼稚園,公立,北海道,夕張市,former,A101220900010,
15,赤平市立赤平幼稚園,赤平幼稚園,,common,幼稚園,公立,北海道,赤平市,current,A101221800019,
15,赤平市立赤平幼稚園,赤平,,name,幼稚園,公立,北海道,赤平市,current,A101221800019,
16,知内町立知内幼稚園,知内幼稚園,,common,幼稚園,公立,北海道,知内町,former,A101233300019,
16,知内町立知内幼稚園,知内,,name,幼稚園,公立,北海道,知内町,former,A101233300019,
17,鹿部町立しかべ幼稚園,しかべ幼稚園,,common,幼稚園,公立,北海道,鹿部町,current,A101234300017,
17,鹿部町立しかべ幼稚園,しかべ,,name,幼稚園,公立,北海道,鹿部町,current,A101234300017,
18,森町立さわら幼稚園,さわら幼稚園,,common,幼稚園,公立,北海道,森町,current,A101234500015,
18,森町立さわら幼稚園,さわら,,name,幼稚園,公立,北海道,森町,current,A101234500015,
19,森町立森幼稚園,森幼稚園,,common,幼稚園,公立,北海道,森町,current,A101234500024,
19,森町立森幼稚園,森,,name,幼稚園,公立,北海道,森町,current,A101234500024,
20,奥尻町立奥尻幼稚園,奥尻幼稚園,,common,幼稚園,公立,北海道,奥尻町,current,A101236700018,
20,奥尻町立奥尻幼稚園,奥尻,,name,幼稚園,公立,北海道,奥尻町,current,A101236700018,
21,奥尻町立青苗幼稚園,青苗幼稚園,,common,幼稚園,公立,北海道,奥尻町,current,A101236700027,
21,奥尻町立青苗幼稚園,青苗,,name,幼稚園,公立,北海道,奥尻町,current,A101236700027,
22,ニセコ町立ニセコ町幼児センター,ニセコ町幼児センター,,common,幼稚園,公立,北海道,ニセコ町,current,A101239500014,
23,共和町立南幼稚園,南幼稚園,,common,幼稚園,公立,北海道,共和町,current,A101240100016,
23,共和町立南幼稚園,南,,name,幼稚園,公立,北海道,共和町,current,A101240100016,
24,共和町立北幼稚園,北幼稚園,,common,幼稚園,公立,北海道,共和町,current,A101240100025,
24,共和町立北幼稚園,北,,name,幼稚園,公立,北海道,共和町,current,A101240100025,
25,東神楽町立東神楽幼稚園,東神楽幼稚園,,common,幼稚園,公立,北海道,東神楽町,former,A101245300013,
25,東神楽町立東神楽幼稚園,東神楽,,name,幼稚園,公立,北海道,東神楽町,former,A101245300013,
26,当麻町立当麻幼稚園,当麻幼稚園,,common,幼稚園,公立,北海道,当麻町,current,A101245400012,
26,当麻町立当麻幼稚園,当麻,,name,幼稚園,公立,北海道,当麻町,current,A101245400012,
27,愛別町立愛別幼稚園,愛別幼稚園,,common,幼稚園,公立,北海道,愛別町,former,A101245600010,
27,愛別町立愛別幼稚園,愛別,,name,幼稚園,公立,北海道,愛別町,former,A101245600010,
28,東川町立東川幼稚園,東川幼稚園,,common,幼稚園,公立,北海道,東川町,former,A101245800018,
28,東川町立東川幼稚園,東川,,name,幼稚園,公立,北海道,東川町,former,A101245800018,
29,音威子府村立音威子府幼稚園,音威子府幼稚園,,common,幼稚園,公立,北海道,音威子府村,current,A101247000012,
29,音威子府村立音威子府幼稚園,音威子府,,name,幼稚園,公立,北海道,音威子府村,current,A101247000012,
30,小平町立小平幼稚園,小平幼稚園,,common,幼稚園,公立,北海道,小平町,current,A101248200018,
30,小平町立小平幼稚園,小平,,name,幼稚園,公立,北海道,小平町,current,A101248200018,
31,小平町立鬼鹿幼稚園,鬼鹿幼稚園,,common,幼稚園,公立,北海道,小平町,former,A101248200027,
31,小平町立鬼鹿幼稚園,鬼鹿,,name,幼稚園,公立,北海道,小平町,former,A101248200027,
32,大空町立女満別幼稚園,女満別幼稚園,,common,幼稚園,公立,北海道,大空町,former,A101256400019,
32,大空町立女満別幼稚園,女満別,,name,幼稚園,公立,北海道,大空町,former,A101256400019,
