id,original,surface,pronunciation,type,field,era,birth_year,death_year,nobel,gender,country,status,description,image,image_page
0,チャールズ・キッテル,キッテル,キッテル,family,物理,現代,1916,2019,no,男性,アメリカ合衆国,物故,強磁性共鳴を開拓し固体磁性の理論に貢献した物性物理学者。定番教科書『キッテル固体物理学入門』でも知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_c3db62f953.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_c3db62f953.svg
0,チャールズ・キッテル,チャールズ・キッテル,チャールズ・キッテル,full,物理,現代,1916,2019,no,男性,アメリカ合衆国,物故,強磁性共鳴を開拓し固体磁性の理論に貢献した物性物理学者。定番教科書『キッテル固体物理学入門』でも知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_c3db62f953.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_c3db62f953.svg
1,JJサクライ,サクライ,サクライ,family,物理,NA,NA,NA,NA,NA,NA,NA,弱い相互作用のV-A理論やベクトル中間子支配モデルを研究した素粒子理論物理学者。教科書『現代の量子力学』でも知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_544f73e14e.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_544f73e14e.svg
1,JJサクライ,JJサクライ,ジェージェーサクライ,full,物理,NA,NA,NA,NA,NA,NA,NA,弱い相互作用のV-A理論やベクトル中間子支配モデルを研究した素粒子理論物理学者。教科書『現代の量子力学』でも知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_544f73e14e.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_544f73e14e.svg
2,J・D・ジャクソン,ジャクソン,ジャクソン,family,物理,NA,NA,NA,NA,NA,NA,NA,ベータ崩壊の弱い相互作用などを研究した理論物理学者。大学院標準教科書『古典電磁気学』の著者として知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_5b27586333.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_5b27586333.svg
2,J・D・ジャクソン,J・D・ジャクソン,ジェーディージャクソン,full,物理,NA,NA,NA,NA,NA,NA,NA,ベータ崩壊の弱い相互作用などを研究した理論物理学者。大学院標準教科書『古典電磁気学』の著者として知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/scientist/sc_5b27586333.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/scientist/sc_5b27586333.svg
3,ジョン・ウィリアム・ストラット,レイリー,レイリー,family,物理/化学/数学,近代,1842,1919,yes,男性,グレートブリテン及びアイルランド連合王国,物故,アルゴンの発見と主要気体の密度測定により、1904年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Strutt.jpg,https://commons.wikimedia.org/wiki/File:John_William_Strutt.jpg
3,ジョン・ウィリアム・ストラット,ジョン・ウィリアム・ストラット,ジョン・ウィリアム・ストラット,full,物理/化学/数学,近代,1842,1919,yes,男性,グレートブリテン及びアイルランド連合王国,物故,アルゴンの発見と主要気体の密度測定により、1904年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Strutt.jpg,https://commons.wikimedia.org/wiki/File:John_William_Strutt.jpg
5,ニルス・グスタフ・ダレーン,ダレーン,ダレーン,family,物理/化学,近代,1869,1937,yes,男性,スウェーデン,物故,灯台やブイのガス蓄圧器用自動調整器の発明により、1912年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Nils%20Gustaf%20Dal%C3%A9n.jpg,https://commons.wikimedia.org/wiki/File:Nils_Gustaf_Dal%C3%A9n.jpg
5,ニルス・グスタフ・ダレーン,ニルス・グスタフ・ダレーン,ニルス・グスタフ・ダレーン,full,物理/化学,近代,1869,1937,yes,男性,スウェーデン,物故,灯台やブイのガス蓄圧器用自動調整器の発明により、1912年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Nils%20Gustaf%20Dal%C3%A9n.jpg,https://commons.wikimedia.org/wiki/File:Nils_Gustaf_Dal%C3%A9n.jpg
6,ヘイケ・カメルリング・オネス,オネス,オネス,family,物理,近代,1853,1926,yes,男性,オランダ王国,物故,低温下の物質特性を研究し液体ヘリウムを生成した功績で、1913年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Kamerlingh%20portret.jpg,https://commons.wikimedia.org/wiki/File:Kamerlingh_portret.jpg
6,ヘイケ・カメルリング・オネス,ヘイケ・カメルリング・オネス,ヘイケ・カメルリング・オネス,full,物理,近代,1853,1926,yes,男性,オランダ王国,物故,低温下の物質特性を研究し液体ヘリウムを生成した功績で、1913年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Kamerlingh%20portret.jpg,https://commons.wikimedia.org/wiki/File:Kamerlingh_portret.jpg
7,ヘンリー・ブラッグ,ブラッグ,ブラッグ,family,物理/化学/数学,近代,1862,1942,yes,男性,イギリス,物故,X線による結晶構造分析を息子ローレンスと開拓し、1915年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Wh-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wh-bragg.jpg
7,ヘンリー・ブラッグ,ヘンリー・ブラッグ,ヘンリー・ブラッグ,full,物理/化学/数学,近代,1862,1942,yes,男性,イギリス,物故,X線による結晶構造分析を息子ローレンスと開拓し、1915年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Wh-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wh-bragg.jpg
8,ローレンス・ブラッグ,ブラッグ,ブラッグ,family,物理/化学/数学,近代,1890,1971,yes,男性,イギリス/オーストラリア,物故,現代結晶学の創始者のひとり。X線回折を用いて物質の構造を研究した。,http://commons.wikimedia.org/wiki/Special:FilePath/Wl-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wl-bragg.jpg
8,ローレンス・ブラッグ,ローレンス・ブラッグ,ローレンス・ブラッグ,full,物理/化学/数学,近代,1890,1971,yes,男性,イギリス/オーストラリア,物故,現代結晶学の創始者のひとり。X線回折を用いて物質の構造を研究した。,http://commons.wikimedia.org/wiki/Special:FilePath/Wl-bragg.jpg,https://commons.wikimedia.org/wiki/File:Wl-bragg.jpg
9,ヨハネス・シュタルク,シュタルク,シュタルク,family,物理,近代,1874,1957,yes,男性,ドイツ/バイエルン王国,物故,シュタルク効果の提唱者。,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Stark.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Stark.jpg
9,ヨハネス・シュタルク,ヨハネス・シュタルク,ヨハネス・シュタルク,full,物理,近代,1874,1957,yes,男性,ドイツ/バイエルン王国,物故,シュタルク効果の提唱者。,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Stark.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Stark.jpg
10,シャルル・エドワール・ギヨーム,ギヨーム,ギヨーム,family,物理,NA,NA,NA,NA,NA,NA,NA,熱膨張が極めて小さい合金インバーとエリンバーを発見し精密計測を発展させた。1920年ノーベル物理学賞受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/1918_Charles_%C3%89douard_Guillaume.jpg,https://commons.wikimedia.org/wiki/File:1918_Charles_%C3%89douard_Guillaume.jpg
10,シャルル・エドワール・ギヨーム,シャルル・エドワール・ギヨーム,シャルル・エドワール・ギヨーム,full,物理,NA,NA,NA,NA,NA,NA,NA,熱膨張が極めて小さい合金インバーとエリンバーを発見し精密計測を発展させた。1920年ノーベル物理学賞受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/1918_Charles_%C3%89douard_Guillaume.jpg,https://commons.wikimedia.org/wiki/File:1918_Charles_%C3%89douard_Guillaume.jpg
11,アーサー・コンプトン,コンプトン,コンプトン,family,物理,近代,1892,1962,yes,男性,アメリカ合衆国,物故,1923年に電磁放射線の粒子性を実証するコンプトン効果を発見し、これにより1927年にノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Compton%201927.jpg,https://commons.wikimedia.org/wiki/File:Arthur_Compton_1927.jpg
11,アーサー・コンプトン,アーサー・コンプトン,アーサー・コンプトン,full,物理,近代,1892,1962,yes,男性,アメリカ合衆国,物故,1923年に電磁放射線の粒子性を実証するコンプトン効果を発見し、これにより1927年にノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Compton%201927.jpg,https://commons.wikimedia.org/wiki/File:Arthur_Compton_1927.jpg
12,オーエン・リチャードソン,リチャードソン,リチャードソン,family,物理,近代,1879,1959,yes,男性,イギリス,物故,1928年熱電子現象の研究によりノーベル物理学賞を受賞している。ヨークシャーのデューズベリー生まれ。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Richardson.jpg,https://commons.wikimedia.org/wiki/File:Owen_Richardson.jpg
12,オーエン・リチャードソン,オーエン・リチャードソン,オーエン・リチャードソン,full,物理,近代,1879,1959,yes,男性,イギリス,物故,1928年熱電子現象の研究によりノーベル物理学賞を受賞している。ヨークシャーのデューズベリー生まれ。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Richardson.jpg,https://commons.wikimedia.org/wiki/File:Owen_Richardson.jpg
14,オットー・シュテルン,シュテルン,シュテルン,family,物理/化学,近代,1888,1969,yes,男性,アメリカ合衆国/ドイツ,物故,1943年のノーベル物理学賞受賞者である。1933年にナチス政権にハンブルク大学教授の地位を追われた後、アメリカに渡った。,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Stern.jpg,https://commons.wikimedia.org/wiki/File:Otto_Stern.jpg
14,オットー・シュテルン,オットー・シュテルン,オットー・シュテルン,full,物理/化学,近代,1888,1969,yes,男性,アメリカ合衆国/ドイツ,物故,1943年のノーベル物理学賞受賞者である。1933年にナチス政権にハンブルク大学教授の地位を追われた後、アメリカに渡った。,http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Stern.jpg,https://commons.wikimedia.org/wiki/File:Otto_Stern.jpg
15,エドワード・アップルトン,アップルトン,アップルトン,family,物理/天文学,近代,1892,1965,yes,男性,イギリス,物故,無線電波を反射する電離層までの距離をはかる実験に成功した。1947年のノーベル物理学賞の受賞者。,http://commons.wikimedia.org/wiki/Special:FilePath/Appleton.jpg,https://commons.wikimedia.org/wiki/File:Appleton.jpg
15,エドワード・アップルトン,エドワード・アップルトン,エドワード・アップルトン,full,物理/天文学,近代,1892,1965,yes,男性,イギリス,物故,無線電波を反射する電離層までの距離をはかる実験に成功した。1947年のノーベル物理学賞の受賞者。,http://commons.wikimedia.org/wiki/Special:FilePath/Appleton.jpg,https://commons.wikimedia.org/wiki/File:Appleton.jpg
16,セシル・パウエル,パウエル,パウエル,family,物理,現代,1903,1969,yes,男性,イギリス,物故,1950年、写真による原子核崩壊過程の研究方法の開発および諸中間子の発見によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Cecil%20Powell.jpg,https://commons.wikimedia.org/wiki/File:Cecil_Powell.jpg
