id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
0,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ,ケナガルーセットオオコウモリ,哺乳類,no,翼手目,オオコウモリ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_843fe7b56f66_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_843fe7b56f66_generated.webp,
1,ハジロコチドリ,ハジロコチドリ,ハジロコチドリ,鳥類,no,チドリ目,チドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Charadrius_hiaticula_3_breeding.jpg,https://commons.wikimedia.org/wiki/File:Charadrius_hiaticula_3_breeding.jpg,Q26816
2,ペルージアリドリ,ペルージアリドリ,ペルージアリドリ,鳥類,no,スズメ目,アリツグミ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_d3a0b3060189_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_d3a0b3060189_generated.webp,
3,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ,アカオオオヒラハシハエトリ,鳥類,no,スズメ目,タイランチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Ramphotrigon_ruficauda_-_Rufous-tailed_Flatbill%3B_Xapuri%2C_Acre%2C_Brazil.jpg,https://commons.wikimedia.org/wiki/File:Ramphotrigon_ruficauda_-_Rufous-tailed_Flatbill%3B_Xapuri%2C_Acre%2C_Brazil.jpg,Q1274141
4,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ,ムラサキモリヤツガシラ,鳥類,no,サイチョウ目,モリヤツガシラ科,http://commons.wikimedia.org/wiki/Special:FilePath/IrrisorGoodchild.jpg,https://commons.wikimedia.org/wiki/File:IrrisorGoodchild.jpg,Q1059533
5,ダスキーティティ,ダスキーティティ,ダスキーティティ,哺乳類,no,サル目,サキ科,http://commons.wikimedia.org/wiki/Special:FilePath/Plecturocebus_moloch_251002824.jpeg,https://commons.wikimedia.org/wiki/File:Plecturocebus_moloch_251002824.jpeg,Q56116672
6,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ,アカビタイムシクイキンパラ,鳥類,no,スズメ目,カエデチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Pholidornis_rubrifrons_Keulemans.jpg,https://commons.wikimedia.org/wiki/File:Pholidornis_rubrifrons_Keulemans.jpg,Q616424
7,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ,シロハラアカヒゲハチドリ,鳥類,no,Trochiliformes,ハチドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/MonographTrochi3Goul_0120_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:MonographTrochi3Goul_0120_%28cropped%29.jpg,Q1271426
8,ミナミヤブハエトリ,ミナミヤブハエトリ,ミナミヤブハエトリ,鳥類,no,スズメ目,タイランチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Sublegatus_modestus_-_Southern_Scrub-Flycatcher%3B_Potengi%2C_Cear%C3%A1%2C_Brazil.jpg,https://commons.wikimedia.org/wiki/File:Sublegatus_modestus_-_Southern_Scrub-Flycatcher%3B_Potengi%2C_Cear%C3%A1%2C_Brazil.jpg,Q1274520
9,クリバネコウウチョウ,クリバネコウウチョウ,クリバネコウウチョウ,鳥類,no,スズメ目,ムクドリモドキ科,http://commons.wikimedia.org/wiki/Special:FilePath/Baywing_%28Agelaioides_badius%29.jpg,https://commons.wikimedia.org/wiki/File:Baywing_%28Agelaioides_badius%29.jpg,Q1584315
