id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
0,相生,相生,あいおい,兵庫県,相生市,JR西日本 山陽新幹線／JR西日本 山陽本線／JR西日本 赤穂線,JR西日本,1890,アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aioi%20Station%20in%20Hyogo%20J09%2010.jpg,https://commons.wikimedia.org/wiki/File:Aioi_Station_in_Hyogo_J09_10.jpg,兵庫県相生市本郷町にある、西日本旅客鉄道（JR西日本）の駅である。事務管コードは▲610623。,Q1132350
1,相生,相生,あいおい,岐阜県,郡上市,長良川鉄道越美南線,長良川鉄道,1929,24／アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aioista2.JPG,https://commons.wikimedia.org/wiki/File:Aioista2.JPG,岐阜県郡上市八幡町相生にある、長良川鉄道越美南線の駅である。駅番号は24。,Q4697555
2,相老,相老,あいおい,群馬県,桐生市,わたらせ渓谷鐵道わたらせ渓谷線／東武鉄道 東武桐生線,わてつ／東武鉄道,1911,TI56／WK03／アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aioi%20Station%20building%20front%20b%20-%20feb%205%202015.jpg,https://commons.wikimedia.org/wiki/File:Aioi_Station_building_front_b_-_feb_5_2015.jpg,群馬県桐生市相生町二丁目にあるわたらせ渓谷鐵道と東武鉄道の駅である。わたらせ渓谷鐵道のわたらせ渓谷線と、東武鉄道の桐生線が乗り入れ、接続駅となっている。,Q4697556
3,相生山,相生山,あいおいやま,愛知県,相川,名市交 桜通線,名市交,2011,S19,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aioiyama_Station_27-March-2011.JPG,https://commons.wikimedia.org/wiki/File:Aioiyama_Station_27-March-2011.JPG,愛知県名古屋市緑区相川3丁目にある名古屋市営地下鉄桜通線の駅である。駅番号はS19。駅のテーマカラーは露草■である。,Q866681
4,秋鹿町,秋鹿町,あいかまち,島根県,松江市,ばたでん 北松江線,,1928,,current,http://commons.wikimedia.org/wiki/Special:FilePath/BATADEN%20Aikamachi%20Sta%20platform.jpg,https://commons.wikimedia.org/wiki/File:BATADEN_Aikamachi_Sta_platform.jpg,島根県松江市秋鹿町に位置する一畑電車北松江線の駅である。駅番号は18。駅名の読みは「あいかまち」だが、地名の読みは「あいかちょう」である。,Q11595886
5,相川,相川,あいかわ,大阪府,相川,阪急電鉄 阪急京都本線,阪急電鉄,1928,HK-65,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hankyu%20Kyoto%20Aikawa%20Sta.jpg,https://commons.wikimedia.org/wiki/File:Hankyu_Kyoto_Aikawa_Sta.jpg,大阪府大阪市東淀川区相川一丁目にある、阪急電鉄京都本線の駅。駅番号はHK-65。,Q377279
6,合川,合川,あいかわ,秋田県,北秋田市,秋田内陸縦貫鉄道秋田内陸線,秋田内陸縦貫鉄道,1934,アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aikawa%20Station%202022.jpg,https://commons.wikimedia.org/wiki/File:Aikawa_Station_2022.jpg,秋田県北秋田市下杉字川井境にある、秋田内陸縦貫鉄道秋田内陸線の駅である。急行「もりよし」停車駅。,Q10916795
7,愛環梅坪,愛環梅坪,あいかんうめつぼ,愛知県,豊田市,愛知環状鉄道線,愛環,2005,13／ウメ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aikan-umetsubo-Station.jpg,https://commons.wikimedia.org/wiki/File:Aikan-umetsubo-Station.jpg,愛知県豊田市東梅坪町にある愛知環状鉄道線の駅である。駅番号は13。,Q4696915
8,相賀,相賀,あいが,三重県,紀北町,JR東海 紀勢本線,JR東海,1934,アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Aiga%20Station%20Platform%2C%20Mie%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Aiga_Station_Platform%2C_Mie_Pref.jpg,三重県北牟婁郡紀北町相賀にある、東海旅客鉄道（JR東海）紀勢本線の駅である。,Q4696816
9,愛甲石田,愛甲石田,あいこういしだ,神奈川県,伊勢原市/厚木市,小田急電鉄 小田急小田原線,小田急電鉄,1927,OH35,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aiko-isida2017.jpg,https://commons.wikimedia.org/wiki/File:Aiko-isida2017.jpg,神奈川県厚木市愛甲一丁目にある、小田急電鉄小田原線の駅である。駅番号はOH 35。,Q1107009
