batch_index,id,surface,pronunciation,rank,query
0,3894,本木,モトギ,3714,本木 もとぎ 氏名
1,3903,来住,ライジュウ,3714,来住 らいじゅう 氏名
2,3923,栗谷川,クリヤカワ,3714,栗谷川 くりやかわ 氏名
3,3927,桑水流,クワズル,3714,桑水流 くわずる 氏名
4,3927,桑水流,クワヅル,3714,桑水流 くわづる 氏名
5,3930,梅咲,ウメザキ,3714,梅咲 うめざき 氏名
6,3956,檀上,ダンカミ,3714,檀上 だんかみ 氏名
7,3956,檀上,ダンガミ,3714,檀上 だんがみ 氏名
8,3976,永塚,エイヅカ,3714,永塚 えいづか 氏名
9,3984,池原,イケバラ,3714,池原 いけばら 氏名
10,3997,油布,アブラヌノ,3714,油布 あぶらぬの 氏名
11,4010,浜津,ハマヅ,3714,浜津 はまづ 氏名
12,4011,海谷,ウミダニ,3714,海谷 うみだに 氏名
13,4011,海谷,カイタニ,3714,海谷 かいたに 氏名
14,4014,添野,ソイノ,3714,添野 そいの 氏名
15,4021,渡久山,ワタクヤマ,3714,渡久山 わたくやま 氏名
16,4041,牧平,マキヘイ,3714,牧平 まきへい 氏名
17,4046,猪野,イイノ,3714,猪野 いいの 氏名
18,4057,田子,タッコ,3714,田子 たっこ 氏名
19,4057,田子,タツコ,3714,田子 たつこ 氏名
20,4070,畦地,アゼジ,3714,畦地 あぜじ 氏名
21,4092,知久,トモヒサ,3714,知久 ともひさ 氏名
22,4102,碧川,アオカワ,3714,碧川 あおかわ 氏名
23,4131,立原,タツハラ,3714,立原 たつはら 氏名
24,4133,立見,タチミ,3714,立見 たちみ 氏名
25,4165,結川,ユカワ,3714,結川 ゆかわ 氏名
26,4170,纐纈,コケツ,3714,纐纈 こけつ 氏名
27,4174,羽下,ハネシタ,3714,羽下 はねした 氏名
28,4176,羽月,ハヅキ,3714,羽月 はづき 氏名
29,4179,能條,ノオジョウ,3714,能條 のおじょう 氏名
30,4181,自見,ジケン,3714,自見 じけん 氏名
31,4186,舟久保,フネクボ,3714,舟久保 ふねくぼ 氏名
32,4195,茂垣,シゲガキ,3714,茂垣 しげがき 氏名
33,4241,西塚,ニシヅカ,3714,西塚 にしづか 氏名
34,4253,谷嶋,ヤシマ,3714,谷嶋 やしま 氏名
35,4258,貞末,サダマツ,3714,貞末 さだまつ 氏名
36,4268,越田,コエダ,3714,越田 こえだ 氏名
37,4276,辺土名,ヘトナ,3714,辺土名 へとな 氏名
38,4277,辻上,ツジカミ,3714,辻上 つじかみ 氏名
39,4283,遊佐,ユウサ,3714,遊佐 ゆうさ 氏名
40,4284,道上,ミチカミ,3714,道上 みちかみ 氏名
41,4285,道家,ミチイエ,3714,道家 みちいえ 氏名
42,4285,道家,ミチヤ,3714,道家 みちや 氏名
43,4297,重永,エナガ,3714,重永 えなが 氏名
44,4324,阿保,アホ,3714,阿保 あほ 氏名
45,4336,颯田,サツタ,3714,颯田 さつた 氏名
46,4341,飯尾,イノオ,3714,飯尾 いのお 氏名
47,4378,一倉,イチグラ,4695,一倉 いちぐら 氏名
48,4379,一方井,イチカタイ,4695,一方井 いちかたい 氏名
49,4380,一松,イチマツ,4695,一松 いちまつ 氏名
