batch_index,id,surface,pronunciation,rank,query
0,7624,〆垣,シメガキ,,〆垣 しめがき 氏名
1,7625,〆崎,シメザキ,,〆崎 しめざき 氏名
2,7626,〆木,シメギ,,〆木 しめぎ 氏名
3,7627,〆本,シメモト,,〆本 しめもと 氏名
4,7628,〆田,シメダ,,〆田 しめだ 氏名
5,7631,すず風,スズカゼ,,すず風 すずかぜ 氏名
6,7632,すみれ乃,スミレノ,,すみれ乃 すみれの 氏名
7,7634,にな川,ニナガワ,,にな川 にながわ 氏名
8,7636,ウーロン亭,ウーロンテイ,,ウーロン亭 うーろんてい 氏名
9,7637,オナ山,オナヤマ,,オナ山 おなやま 氏名
10,7638,フグ田,フグタ,,フグ田 ふぐた 氏名
11,7639,ホン多,ホンダ,,ホン多 ほんだ 氏名
12,7644,一の坪,イチノツボ,,一の坪 いちのつぼ 氏名
13,7647,一の谷,イチノタニ,,一の谷 いちのたに 氏名
14,7648,一の関,イチノセキ,,一の関 いちのせき 氏名
15,7655,一ツ木,ヒトツキ,,一ツ木 ひとつき 氏名
16,7657,一ツ柳,ヒトツヤナギ,,一ツ柳 ひとつやなぎ 氏名
17,7681,一ノ条,イチノジョウ,,一ノ条 いちのじょう 氏名
18,7684,一ノ江,イチノエ,,一ノ江 いちのえ 氏名
19,7693,一ヶ谷,イチガヤ,,一ヶ谷 いちがや 氏名
20,7698,一世,ヒトセ,,一世 ひとせ 氏名
21,7702,一乃谷,イチノタニ,,一乃谷 いちのたに 氏名
22,7707,一之沢,イチノサワ,,一之沢 いちのさわ 氏名
23,7708,一之澤,イチノサワ,,一之澤 いちのさわ 氏名
24,7710,一之黒,イチノクロ,,一之黒 いちのくろ 氏名
25,7713,一乗谷,イチジョウダニ,,一乗谷 いちじょうだに 氏名
26,7716,一代,イチダイ,,一代 いちだい 氏名
27,7718,一休,イッキュウ,,一休 いっきゅう 氏名
28,7719,一住連,イチノシメ,,一住連 いちのしめ 氏名
29,7722,一兜,イチカブト,,一兜 いちかぶと 氏名
30,7723,一内,カズウチ,,一内 かずうち 氏名
31,7725,一凛,イチリン,,一凛 いちりん 氏名
32,7727,一分片,イチブカタ,,一分片 いちぶかた 氏名
33,7731,一勇斎,イチユウサイ,,一勇斎 いちゆうさい 氏名
34,7734,一十三,ヒトミ,,一十三 ひとみ 氏名
35,7735,一十木,イットキ,,一十木 いっとき 氏名
36,7739,一反田,イッタンダ,,一反田 いったんだ 氏名
37,7747,一国,イッコク,,一国 いっこく 氏名
38,7749,一地,イッチ,,一地 いっち 氏名
39,7754,一城寺,イチジョウジ,,一城寺 いちじょうじ 氏名
40,7756,一塚,イチヅカ,,一塚 いちづか 氏名
41,7757,一塲,イチバ,,一塲 いちば 氏名
42,7761,一子,イチコ,,一子 いちこ 氏名
43,7762,一宅,イッタク,,一宅 いったく 氏名
44,7765,一富,イチトミ,,一富 いちとみ 氏名
45,7766,一富士,イチフジ,,一富士 いちふじ 氏名
46,7767,一寳,イッポウ,,一寳 いっぽう 氏名
47,7769,一寸木,マスキ,,一寸木 ますき 氏名
48,7775,一岩,ヒトイワ,,一岩 ひといわ 氏名
49,7777,一峯斎,イッポウサイ,,一峯斎 いっぽうさい 氏名
50,7780,一崎,イチザキ,,一崎 いちざき 氏名
51,7782,一嶌,イチジマ,,一嶌 いちじま 氏名
52,7784,一希,カズキ,,一希 かずき 氏名
53,7785,一平,イチノヒラ,,一平 いちのひら 氏名
54,7785,一平,ヒトヒラ,,一平 ひとひら 氏名
55,7790,一成,カズナリ,,一成 かずなり 氏名
56,7791,一振,イップリ,,一振 いっぷり 氏名
57,7792,一撃,イチゲキ,,一撃 いちげき 氏名
58,7793,一文字,イチモジ,,一文字 いちもじ 氏名
59,7794,一斗,イット,,一斗 いっと 氏名
60,7795,一方隅,イッポウズミ,,一方隅 いっぽうずみ 氏名
61,7797,一星,イッセイ,,一星 いっせい 氏名
62,7801,一月,イチゲツ,,一月 いちげつ 氏名
63,7801,一月,ヒトツキ,,一月 ひとつき 氏名
64,7804,一本島,イッポンジマ,,一本島 いっぽんじま 氏名
65,7806,一本木,ヒトツギ,,一本木 ひとつぎ 氏名
