batch_index,id,surface,pronunciation,rank,query
0,6270,小材,オザイ,6180,小材 おざい 氏名
1,6278,小瀬村,コセケラ,6180,小瀬村 こせけら 氏名
2,6280,小管,コスガ,6180,小管 こすが 氏名
3,6301,尾留川,オルカワ,6180,尾留川 おるかわ 氏名
4,6304,尾越,オゴセ,6180,尾越 おごせ 氏名
5,6309,山加,ヤマカ,6180,山加 やまか 氏名
6,6310,山田島,ヤマダシマ,6180,山田島 やまだしま 氏名
7,6323,岨手,ソデ,6180,岨手 そで 氏名
8,6330,岸下,キシゲ,6180,岸下 きしげ 氏名
9,6338,島沢,シマサワ,6180,島沢 しまさわ 氏名
10,6354,川埜,コウノ,6180,川埜 こうの 氏名
11,6359,川那子,カワナコ,6180,川那子 かわなこ 氏名
12,6359,川那子,カワナゴ,6180,川那子 かわなご 氏名
13,6361,川面,カワヅラ,6180,川面 かわづら 氏名
14,6378,布施川,フセカワ,6180,布施川 ふせかわ 氏名
15,6380,布瀬川,フセガワ,6180,布瀬川 ふせがわ 氏名
16,6383,帯川,オビガワ,6180,帯川 おびがわ 氏名
17,6391,平牧,ヒラマキ,6180,平牧 ひらまき 氏名
18,6392,幸内,コウナイ,6180,幸内 こうない 氏名
19,6395,幾田,イクダ,6180,幾田 いくだ 氏名
20,6401,広津留,ヒロツル,6180,広津留 ひろつる 氏名
21,6414,廣長,ヒロチョウ,6180,廣長 ひろちょう 氏名
22,6421,引坂,ヒキサカ,6180,引坂 ひきさか 氏名
23,6430,後原,ゴハラ,6180,後原 ごはら 氏名
24,6431,御守,オンモリ,6180,御守 おんもり 氏名
25,6439,徳南,トクナン,6180,徳南 とくなん 氏名
26,6442,徳満,トクマン,6180,徳満 とくまん 氏名
27,6443,徳竹,トクダケ,6180,徳竹 とくだけ 氏名
28,6448,志尊,シソン,6180,志尊 しそん 氏名
29,6456,恵畑,エハタ,6180,恵畑 えはた 氏名
30,6462,應武,オオタケ,6180,應武 おおたけ 氏名
31,6466,戒田,カイタ,6180,戒田 かいた 氏名
32,6471,戸辺,トナベ,6180,戸辺 となべ 氏名
33,6473,戸野,トヤ,6180,戸野 とや 氏名
34,6492,撹上,カキアゲ,6180,撹上 かきあげ 氏名
35,6493,改井,カイイ,6180,改井 かいい 氏名
36,6501,文田,アヤタ,6180,文田 あやた 氏名
37,6501,文田,アヤダ,6180,文田 あやだ 氏名
38,6507,新タ,アラタ,6180,新タ あらた 氏名
39,6508,新嘉喜,シンガキ,6180,新嘉喜 しんがき 氏名
40,6509,新坂,ニイサカ,6180,新坂 にいさか 氏名
41,6520,新良,アラ,6180,新良 あら 氏名
42,6520,新良,ニイラ,6180,新良 にいら 氏名
43,6522,新鍋,シンナベ,6180,新鍋 しんなべ 氏名
44,6525,日恵野,ヒエノ,6180,日恵野 ひえの 氏名
45,6527,日枝,ヒエダ,6180,日枝 ひえだ 氏名
46,6529,日爪,ヒズメ,6180,日爪 ひずめ 氏名
47,6529,日爪,ヒヅメ,6180,日爪 ひづめ 氏名
48,6531,早戸,ハヤト,6180,早戸 はやと 氏名
49,6539,春村,ハルムラ,6180,春村 はるむら 氏名
50,6563,有隅,アリズミ,6180,有隅 ありずみ 氏名
51,6565,望木,モチキ,6180,望木 もちき 氏名
52,6569,朝海,アサウミ,6180,朝海 あさうみ 氏名
53,6570,朝美,アサミ,6180,朝美 あさみ 氏名
54,6576,木城,キジョウ,6180,木城 きじょう 氏名
55,6585,木綿,コワタ,6180,木綿 こわた 氏名
56,6595,末益,スエエキ,6180,末益 すええき 氏名
57,6596,本並,モトナミ,6180,本並 もとなみ 氏名
58,6599,本告,モトイ,6180,本告 もとい 氏名
59,6602,本松,ホンマツ,6180,本松 ほんまつ 氏名
60,6605,本高,モトダカ,6180,本高 もとだか 氏名
61,6611,村佐,ムラサ,6180,村佐 むらさ 氏名
62,6616,来嶋,クルシマ,6180,来嶋 くるしま 氏名
63,6620,東原,トウバラ,6180,東原 とうばら 氏名
64,6625,杵村,キネムラ,6180,杵村 きねむら 氏名
65,6626,松ケ枝,マツガエ,6180,松ケ枝 まつがえ 氏名
66,6631,松形,マツガタ,6180,松形 まつがた 氏名
67,6645,枡川,マスカワ,6180,枡川 ますかわ 氏名
68,6658,栃沢,トチサワ,6180,栃沢 とちさわ 氏名
69,6662,栗下,クリゲ,6180,栗下 くりげ 氏名
70,6663,栗和田,クリワタ,6180,栗和田 くりわた 氏名
71,6665,栢野,カシノ,6180,栢野 かしの 氏名
72,6666,株丹,カブタン,6180,株丹 かぶたん 氏名
73,6669,根道,ネミチ,6180,根道 ねみち 氏名
74,6692,棚辺,タナベ,6180,棚辺 たなべ 氏名
75,6713,榎木丸,エノキマル,6180,榎木丸 えのきまる 氏名
76,6715,榎谷,エノキヤ,6180,榎谷 えのきや 氏名
77,6716,榑林,センリン,6180,榑林 せんりん 氏名
78,6724,樅山,ショウヤマ,6180,樅山 しょうやま 氏名
79,6730,横小路,ヨココウジ,6180,横小路 よここうじ 氏名
80,6732,樫元,カシモト,6180,樫元 かしもと 氏名
81,6734,樽茶,タルチャ,6180,樽茶 たるちゃ 氏名
82,6741,櫟本,トチモト,6180,櫟本 とちもと 氏名
83,6746,正籬,マサガキ,6180,正籬 まさがき 氏名
84,6764,毛受,ケウケ,6180,毛受 けうけ 氏名
85,6766,民安,タミヤス,6180,民安 たみやす 氏名
86,6767,気田,ケタ,6180,気田 けた 氏名
87,6772,水信,ミズノブ,6180,水信 みずのぶ 氏名
88,6774,水地,スイチ,6180,水地 すいち 氏名
89,6780,水筑,ミズツキ,6180,水筑 みずつき 氏名
90,6781,氷上,ヒョウジョウ,6180,氷上 ひょうじょう 氏名
91,6788,永易,ナガイ,6180,永易 ながい 氏名
92,6791,永盛,エイモリ,6180,永盛 えいもり 氏名
93,6792,永藤,エイトウ,6180,永藤 えいとう 氏名
94,6802,江面,エヅラ,6180,江面 えづら 氏名
95,6804,池之上,イケノカミ,6180,池之上 いけのかみ 氏名
96,6815,沢谷,サワタニ,6180,沢谷 さわたに 氏名
97,6825,沼舘,ヌマダテ,6180,沼舘 ぬまだて 氏名
98,6827,泉井,イズミイ,6180,泉井 いずみい 氏名
99,6843,浄野,ジョウノ,6180,浄野 じょうの 氏名
100,6863,海渕,カイブチ,6180,海渕 かいぶち 氏名
101,6864,海老塚,エビヅカ,6180,海老塚 えびづか 氏名
102,6879,渋野,シゲノ,6180,渋野 しげの 氏名
103,6880,渕岡,フチオカ,6180,渕岡 ふちおか 氏名
104,6882,渡士,ワタシ,6180,渡士 わたし 氏名
105,6883,渡慶次,トケイジ,6180,渡慶次 とけいじ 氏名
106,6885,渡谷,ワタリヤ,6180,渡谷 わたりや 氏名
107,6888,温水,ヌルミズ,6180,温水 ぬるみず 氏名
108,6892,湯上,ユカミ,6180,湯上 ゆかみ 氏名
109,6893,湯地,ユヂ,6180,湯地 ゆぢ 氏名
110,6895,満仲,マンナカ,6180,満仲 まんなか 氏名
111,6895,満仲,ミツナカ,6180,満仲 みつなか 氏名
112,6911,濱門,ハマカド,6180,濱門 はまかど 氏名
113,6913,瀬尻,セジリ,6180,瀬尻 せじり 氏名
114,6925,煙石,エンセキ,6180,煙石 えんせき 氏名
