batch_index,id,surface,pronunciation,rank,query
0,30945,太齊,タサイ,,太齊 たさい 氏名
1,30945,太齊,ダサイ,,太齊 ださい 氏名
2,30948,夫婦石,ミョウトイシ,,夫婦石 みょうといし 氏名
3,30949,夫宮,フミヤ,,夫宮 ふみや 氏名
4,30950,夫松,ソレマツ,,夫松 それまつ 氏名
5,30955,失尾,シツオ,,失尾 しつお 氏名
6,30956,夷亀,イキ,,夷亀 いき 氏名
7,30957,夷井,エビスイ,,夷井 えびすい 氏名
8,30958,夷塚,エゾヅカ,,夷塚 えぞづか 氏名
9,30959,夷子,エビス,,夷子 えびす 氏名
10,30971,奇本,キモト,,奇本 きもと 氏名
11,30972,奇能,キノウ,,奇能 きのう 氏名
12,30973,奇藤,キトウ,,奇藤 きとう 氏名
13,30974,奇験,キケン,,奇験 きけん 氏名
14,30976,奈ラ原,ナラハラ,,奈ラ原 ならはら 氏名
15,30977,奈三,ナミ,,奈三 なみ 氏名
16,30984,奈切,ナキリ,,奈切 なきり 氏名
17,30986,奈原,ナハラ,,奈原 なはら 氏名
18,30988,奈古屋,ナゴヤ,,奈古屋 なごや 氏名
19,30989,奈呉,ナゴ,,奈呉 なご 氏名
20,30990,奈呉江,ナゴエ,,奈呉江 なごえ 氏名
21,30993,奈喜良,ナギラ,,奈喜良 なぎら 氏名
22,30994,奈地田,ナチダ,,奈地田 なちだ 氏名
23,30999,奈子原,ナシハラ,,奈子原 なしはら 氏名
24,31000,奈宮,ナミヤ,,奈宮 なみや 氏名
25,31002,奈山,ナヤマ,,奈山 なやま 氏名
26,31003,奈島,ナシマ,,奈島 なしま 氏名
27,31004,奈嶋,ナシマ,,奈嶋 なしま 氏名
28,31006,奈幡,ナバタ,,奈幡 なばた 氏名
29,31008,奈数,ナス,,奈数 なす 氏名
30,31012,奈木野,ナギノ,,奈木野 なぎの 氏名
31,31013,奈柄,ナガラ,,奈柄 ながら 氏名
32,31014,奈桐,ナキリ,,奈桐 なきり 氏名
33,31018,奈治原,ナジハラ,,奈治原 なじはら 氏名
34,31019,奈波,ナバ,,奈波 なば 氏名
35,31019,奈波,ナワ,,奈波 なわ 氏名
36,31023,奈爪,ナツメ,,奈爪 なつめ 氏名
37,31027,奈目良,ナメラ,,奈目良 なめら 氏名
38,31028,奈竹,ナタケ,,奈竹 なたけ 氏名
39,31030,奈羅尾,ナラオ,,奈羅尾 ならお 氏名
40,31031,奈義良,ナギラ,,奈義良 なぎら 氏名
41,31033,奈良元,ナラモト,,奈良元 ならもと 氏名
42,31035,奈良和,ナラワ,,奈良和 ならわ 氏名
43,31036,奈良垣,ナラガキ,,奈良垣 ならがき 氏名
44,31038,奈良定,ナラサダ,,奈良定 ならさだ 氏名
45,31039,奈良屋,ナラヤ,,奈良屋 ならや 氏名
46,31042,奈良嵜,ナラザキ,,奈良嵜 ならざき 氏名
47,31043,奈良川,ナラカワ,,奈良川 ならかわ 氏名
48,31050,奈良瀬,ナラセ,,奈良瀬 ならせ 氏名
49,31051,奈良脇,ナラワキ,,奈良脇 ならわき 氏名
50,31053,奈良谷,ナラタニ,,奈良谷 ならたに 氏名
51,31054,奈良貞,ナラサダ,,奈良貞 ならさだ 氏名
52,31055,奈良越,ナラコシ,,奈良越 ならこし 氏名
53,31061,奈蔵,ナグラ,,奈蔵 なぐら 氏名
54,31063,奈賀尾,ナガオ,,奈賀尾 ながお 氏名
55,31064,奈賀野,ナガノ,,奈賀野 ながの 氏名
56,31065,奈路田,ナロダ,,奈路田 なろだ 氏名
57,31067,奈迫,ナサコ,,奈迫 なさこ 氏名
58,31070,奈部谷,ナベタニ,,奈部谷 なべたに 氏名
59,31071,奈雪,ナユキ,,奈雪 なゆき 氏名
60,31074,奈須埜,ナスノ,,奈須埜 なすの 氏名
61,31075,奈須川,ナスカワ,,奈須川 なすかわ 氏名
62,31076,奈須本,ナスモト,,奈須本 なすもと 氏名
63,31079,奈須那,ナスナ,,奈須那 なすな 氏名
64,31081,奈鬼羅,ナキラ,,奈鬼羅 なきら 氏名
65,31082,奉城,ホウジョウ,,奉城 ほうじょう 氏名
66,31083,奉守,ホウシュ,,奉守 ほうしゅ 氏名
67,31086,奉日本,タカモト,,奉日本 たかもと 氏名
68,31088,奉養,ホウヨウ,,奉養 ほうよう 氏名
69,31092,契里,チギリ,,契里 ちぎり 氏名
70,31096,奠乃,テンノ,,奠乃 てんの 氏名
71,31097,奥の矢,オクノヤ,,奥の矢 おくのや 氏名
