batch_index,id,surface,pronunciation,rank,query
0,58425,浜比嘉,ハマヒガ,,浜比嘉 はまひが 氏名
1,58427,浜水,ハマミズ,,浜水 はまみず 氏名
2,58428,浜永,ハマナガ,,浜永 はまなが 氏名
3,58429,浜池,ハマイケ,,浜池 はまいけ 氏名
4,58430,浜沖,ハマオキ,,浜沖 はまおき 氏名
5,58431,浜沢,ハマサワ,,浜沢 はまさわ 氏名
6,58432,浜河,ハマカワ,,浜河 はまかわ 氏名
7,58433,浜治,ハマジ,,浜治 はまじ 氏名
8,58434,浜沼,ハマヌマ,,浜沼 はまぬま 氏名
9,58435,浜波,ハマナミ,,浜波 はまなみ 氏名
10,58437,浜洲,ハマス,,浜洲 はます 氏名
11,58439,浜浪,ハマナミ,,浜浪 はまなみ 氏名
12,58440,浜海,ハマウミ,,浜海 はまうみ 氏名
13,58441,浜涯,ハマギワ,,浜涯 はまぎわ 氏名
14,58444,浜渕,ハマブチ,,浜渕 はまぶち 氏名
15,58445,浜渡,ハマワタリ,,浜渡 はまわたり 氏名
16,58447,浜湊,ハマミナト,,浜湊 はまみなと 氏名
17,58448,浜満,ハマミツ,,浜満 はまみつ 氏名
18,58449,浜滝,ハマタキ,,浜滝 はまたき 氏名
19,58450,浜潟,ハマガタ,,浜潟 はまがた 氏名
20,58456,浜片,ハマカタ,,浜片 はまかた 氏名
21,58457,浜玉,ハマタマ,,浜玉 はまたま 氏名
22,58460,浜畠,ハマハタ,,浜畠 はまはた 氏名
23,58461,浜畷,ハマナワテ,,浜畷 はまなわて 氏名
24,58462,浜登,ハマト,,浜登 はまと 氏名
25,58463,浜益,ハママス,,浜益 はまます 氏名
26,58464,浜盛,ハマモリ,,浜盛 はまもり 氏名
27,58466,浜知,ハマチ,,浜知 はまち 氏名
28,58468,浜磯,ハマイソ,,浜磯 はまいそ 氏名
29,58469,浜礒,ハマイソ,,浜礒 はまいそ 氏名
30,58470,浜福,ハマフク,,浜福 はまふく 氏名
31,58472,浜窄,ハマサコ,,浜窄 はまさこ 氏名
32,58474,浜端,ハマハタ,,浜端 はまはた 氏名
33,58476,浜納,ハマナ,,浜納 はまな 氏名
34,58476,浜納,ハマノウ,,浜納 はまのう 氏名
35,58477,浜組,ハマグミ,,浜組 はまぐみ 氏名
36,58479,浜舘,ハマダテ,,浜舘 はまだて 氏名
37,58480,浜花,ハマハナ,,浜花 はまはな 氏名
38,58481,浜荒津,ハマアラツ,,浜荒津 はまあらつ 氏名
39,58482,浜菜,ハマナ,,浜菜 はまな 氏名
40,58483,浜萩,ハマハギ,,浜萩 はまはぎ 氏名
41,58484,浜薗,ハマゾノ,,浜薗 はまぞの 氏名
42,58486,浜行,ハマユキ,,浜行 はまゆき 氏名
43,58489,浜角,ハマカド,,浜角 はまかど 氏名
44,58490,浜詰,ハマヅメ,,浜詰 はまづめ 氏名
45,58491,浜谷内,ハマヤウチ,,浜谷内 はまやうち 氏名
46,58494,浜走,ハマバシリ,,浜走 はまばしり 氏名
47,58495,浜越,ハマコシ,,浜越 はまこし 氏名
48,58497,浜辻,ハマツジ,,浜辻 はまつじ 氏名
49,58498,浜近,ハマチカ,,浜近 はまちか 氏名
50,58499,浜迫,ハマサコ,,浜迫 はまさこ 氏名
51,58500,浜遊,ハマユウ,,浜遊 はまゆう 氏名
52,58501,浜邉,ハマベ,,浜邉 はまべ 氏名
53,58502,浜邊,ハマベ,,浜邊 はまべ 氏名
54,58506,浜重,ハマシゲ,,浜重 はましげ 氏名
55,58507,浜野上,ハマノウエ,,浜野上 はまのうえ 氏名
56,58510,浜野和,ハマノワ,,浜野和 はまのわ 氏名
57,58511,浜野谷,ハマノヤ,,浜野谷 はまのや 氏名
58,58514,浜鍛治,ハマカジ,,浜鍛治 はまかじ 氏名
59,58516,浜鍬,ハマクワ,,浜鍬 はまくわ 氏名
60,58518,浜門,ハマカド,,浜門 はまかど 氏名
61,58520,浜阪,ハマサカ,,浜阪 はまさか 氏名
62,58523,浜須,ハマス,,浜須 はます 氏名
63,58525,浜頭,ハマガシラ,,浜頭 はまがしら 氏名
64,58527,浜飯,ハマイイ,,浜飯 はまいい 氏名
65,58529,浜駒,ハマコマ,,浜駒 はまこま 氏名
66,58530,浜高,ハマタカ,,浜高 はまたか 氏名
67,58531,浜高家,ハマタケ,,浜高家 はまたけ 氏名
68,58532,浦下,ウラシタ,,浦下 うらした 氏名
69,58534,浦丸,ウラマル,,浦丸 うらまる 氏名
70,58539,浦代,ウラシロ,,浦代 うらしろ 氏名
71,58543,浦信,ウラノブ,,浦信 うらのぶ 氏名
72,58544,浦入,ウライリ,,浦入 うらいり 氏名
73,58544,浦入,ウラニュウ,,浦入 うらにゅう 氏名
74,58545,浦内,ウラウチ,,浦内 うらうち 氏名
75,58546,浦冨,ウラトミ,,浦冨 うらとみ 氏名
76,58548,浦前,ウラマエ,,浦前 うらまえ 氏名
77,58549,浦勇,ウライサミ,,浦勇 うらいさみ 氏名
78,58550,浦北,ウラキタ,,浦北 うらきた 氏名
79,58551,浦南,ウラミナミ,,浦南 うらみなみ 氏名
80,58555,浦喜,ウラキ,,浦喜 うらき 氏名
81,58556,浦園,ウラゾノ,,浦園 うらぞの 氏名
82,58558,浦地,ウラチ,,浦地 うらち 氏名
83,58560,浦坪,ウラツボ,,浦坪 うらつぼ 氏名
84,58562,浦垣内,ウラガイト,,浦垣内 うらがいと 氏名
85,58565,浦堀,ウラホリ,,浦堀 うらほり 氏名
86,58566,浦場,ウラバ,,浦場 うらば 氏名
87,58567,浦塘,ウラトモ,,浦塘 うらとも 氏名
88,58568,浦塚,ウラツカ,,浦塚 うらつか 氏名
89,58568,浦塚,ウラヅカ,,浦塚 うらづか 氏名
90,58572,浦宮,ウラミヤ,,浦宮 うらみや 氏名
91,58573,浦家,ウライエ,,浦家 うらいえ 氏名
92,58574,浦富,ウラトミ,,浦富 うらとみ 氏名
93,58575,浦寺,ウラデラ,,浦寺 うらでら 氏名
94,58576,浦尻,ウラジリ,,浦尻 うらじり 氏名
95,58578,浦屋敷,ウラヤシキ,,浦屋敷 うらやしき 氏名
96,58581,浦岩,ウライワ,,浦岩 うらいわ 氏名
97,58582,浦岸,ウラギシ,,浦岸 うらぎし 氏名
98,58585,浦嶌,ウラシマ,,浦嶌 うらしま 氏名
99,58587,浦巽,ウラタツミ,,浦巽 うらたつみ 氏名
100,58589,浦平,ウラヒラ,,浦平 うらひら 氏名
101,58590,浦志,ウラシ,,浦志 うらし 氏名
102,58593,浦所,ウラドコロ,,浦所 うらどころ 氏名
103,58594,浦手,ウラテ,,浦手 うらて 氏名
104,58596,浦方,ウラカタ,,浦方 うらかた 氏名
105,58598,浦末,ウラスエ,,浦末 うらすえ 氏名
106,58599,浦杉,ウラスギ,,浦杉 うらすぎ 氏名
107,58600,浦村,ウラムラ,,浦村 うらむら 氏名
108,58607,浦次,ウラツギ,,浦次 うらつぎ 氏名
109,58608,浦水,ウラミズ,,浦水 うらみず 氏名
110,58609,浦永,ウラナガ,,浦永 うらなが 氏名
111,58613,浦沼,ウラヌマ,,浦沼 うらぬま 氏名
112,58614,浦泉,ウライズミ,,浦泉 うらいずみ 氏名
113,58620,浦滝,ウラタキ,,浦滝 うらたき 氏名
114,58621,浦潟,ウラカタ,,浦潟 うらかた 氏名
115,58622,浦澤,ウラザワ,,浦澤 うらざわ 氏名
116,58625,浦瀧,ウラタキ,,浦瀧 うらたき 氏名
117,58627,浦牛原,ウラウシハラ,,浦牛原 うらうしはら 氏名
118,58628,浦狩,ウラカリ,,浦狩 うらかり 氏名
119,58631,浦畠,ウラハタ,,浦畠 うらはた 氏名
120,58633,浦矢,ウラヤ,,浦矢 うらや 氏名
121,58634,浦石,ウライシ,,浦石 うらいし 氏名
122,58637,浦窪,ウラクボ,,浦窪 うらくぼ 氏名
123,58639,浦竹,ウラタケ,,浦竹 うらたけ 氏名
124,58640,浦籔,ウラヤブ,,浦籔 うらやぶ 氏名
125,58642,浦脇,ウラワキ,,浦脇 うらわき 氏名
126,58643,浦船,ウラフネ,,浦船 うらふね 氏名
127,58645,浦葉,ウラハ,,浦葉 うらは 氏名
128,58646,浦薮,ウラヤブ,,浦薮 うらやぶ 氏名
129,58647,浦藤,ウラフジ,,浦藤 うらふじ 氏名
130,58651,浦見,ウラミ,,浦見 うらみ 氏名
131,58660,浦邊,ウラベ,,浦邊 うらべ 氏名
132,58664,浦重,ウラシゲ,,浦重 うらしげ 氏名
133,58666,浦門,ウラカド,,浦門 うらかど 氏名
134,58667,浦隅,ウラスミ,,浦隅 うらすみ 氏名
135,58669,浦霧,ウラギリ,,浦霧 うらぎり 氏名
136,58670,浦須内,ウラスナイ,,浦須内 うらすない 氏名
137,58674,浦鬼,ホキ,,浦鬼 ほき 氏名
138,58677,浩野,ヒロノ,,浩野 ひろの 氏名
139,58679,浪上,ナミノウエ,,浪上 なみのうえ 氏名
140,58680,浪下,ナミシタ,,浪下 なみした 氏名
141,58683,浪元,ナミモト,,浪元 なみもと 氏名
142,58684,浪内,ナミウチ,,浪内 なみうち 氏名
143,58685,浪分,ナミワケ,,浪分 なみわけ 氏名
144,58686,浪切,ナミキリ,,浪切 なみきり 氏名
145,58691,浪塚,ナミヅカ,,浪塚 なみづか 氏名
146,58693,浪尾,ナミオ,,浪尾 なみお 氏名
147,58696,浪岩,ナミイワ,,浪岩 なみいわ 氏名
148,58697,浪岸,ナミギシ,,浪岸 なみぎし 氏名
149,58699,浪崎,ナミサキ,,浪崎 なみさき 氏名
150,58702,浪床,ナミトコ,,浪床 なみとこ 氏名
