batch_index,id,surface,pronunciation,rank,query
0,7,伊藤,イロウ,7,伊藤 いろう 氏名
1,12,井上,イトウ,12,井上 いとう 氏名
2,17,林,ハヤシノ,17,林 はやしの 氏名
3,26,石川,イシカワノ,26,石川 いしかわの 氏名
4,34,岡本,オカモトノ,34,岡本 おかもとの 氏名
5,63,星野,コシノ,63,星野 こしの 氏名
6,67,坂本,サカモトノ,67,坂本 さかもとの 氏名
7,74,上野,カンツケノ,74,上野 かんつけの 氏名
8,113,佐伯,サエキノ,113,佐伯 さえきの 氏名
9,133,橘,タチバナノ,128,橘 たちばなの 氏名
10,145,山内,ナカウチ,145,山内 なかうち 氏名
11,147,高野,タカノノ,145,高野 たかのの 氏名
12,154,菅野,スガノノ,154,菅野 すがのの 氏名
13,165,菅原,スガラワ,164,菅原 すがらわ 氏名
14,165,菅原,スガワラノ,164,菅原 すがわらの 氏名
15,170,中原,チュウゲン,169,中原 ちゅうげん 氏名
16,170,中原,ナカハラノ,169,中原 なかはらの 氏名
17,244,島田,シマダノ,243,島田 しまだの 氏名
18,246,長田,ナガダ,246,長田 ながだ 氏名
19,253,三輪,ミワノ,253,三輪 みわの 氏名
20,258,大友,オオトモノ,257,大友 おおともの 氏名
21,264,竹田,タケダノ,262,竹田 たけだの 氏名
22,266,安井,ヤズイ,265,安井 やずい 氏名
23,274,浅井,アサミ,273,浅井 あさみ 氏名
24,289,前川,マワガワ,289,前川 まわがわ 氏名
25,322,一条,イチジョウノ,323,一条 いちじょうの 氏名
26,326,伊東,イトオ,326,伊東 いとお 氏名
27,332,安部,アベノ,332,安部 あべの 氏名
28,336,永野,ナカノ,336,永野 なかの 氏名
29,352,大場,ダイバ,353,大場 だいば 氏名
30,365,大伴,オオトモノ,366,大伴 おおともの 氏名
31,371,戸田,サトウ,371,戸田 さとう 氏名
32,373,三井,ミツイノ,375,三井 みついの 氏名
33,378,三島,ミシマノ,380,三島 みしまの 氏名
34,446,日下部,クサカベノ,446,日下部 くさかべの 氏名
