batch_index,id,surface,pronunciation,rank,query
0,20411,前谷津,マエヤツ,,前谷津 まえやつ 氏名
1,20411,前谷津,マエヤヅ,,前谷津 まえやづ 氏名
2,20412,前貞,マエサダ,,前貞 まえさだ 氏名
3,20413,前賀,マエガ,,前賀 まえが 氏名
4,20414,前越,マエゴシ,,前越 まえごし 氏名
5,20415,前辻,マエツジ,,前辻 まえつじ 氏名
6,20416,前迎,マエムカイ,,前迎 まえむかい 氏名
7,20418,前道,マエミチ,,前道 まえみち 氏名
8,20419,前部屋,マエベヤ,,前部屋 まえべや 氏名
9,20420,前郷,ゼンゴウ,,前郷 ぜんごう 氏名
10,20423,前釜,マエガマ,,前釜 まえがま 氏名
11,20424,前長,マエナガ,,前長 まえなが 氏名
12,20425,前門戸,マエモンド,,前門戸 まえもんど 氏名
13,20427,前関,マエセキ,,前関 まえせき 氏名
14,20427,前関,マエゼキ,,前関 まえぜき 氏名
15,20429,前防,マエボウ,,前防 まえぼう 氏名
16,20430,前陸路,マエリクロ,,前陸路 まえりくろ 氏名
17,20431,前隈,マエグマ,,前隈 まえぐま 氏名
18,20432,前霍,マエヅル,,前霍 まえづる 氏名
19,20433,前須,マエス,,前須 まえす 氏名
20,20434,前須賀,マエスガ,,前須賀 まえすが 氏名
21,20435,前館,マエダテ,,前館 まえだて 氏名
22,20436,前馬,マエウマ,,前馬 まえうま 氏名
23,20437,前高,マエタカ,,前高 まえたか 氏名
24,20438,前鶴,マエツル,,前鶴 まえつる 氏名
25,20438,前鶴,マエヅル,,前鶴 まえづる 氏名
26,20439,前鹿川,マエカガワ,,前鹿川 まえかがわ 氏名
27,20440,前黒島,マエクロシマ,,前黒島 まえくろしま 氏名
28,20443,剛家,コウケ,,剛家 こうけ 氏名
29,20443,剛家,コウゲ,,剛家 こうげ 氏名
30,20444,剛崎,コワザキ,,剛崎 こわざき 氏名
31,20444,剛崎,ゴウザキ,,剛崎 ごうざき 氏名
32,20445,剛正,タケマサ,,剛正 たけまさ 氏名
33,20447,剛谷,コワタニ,,剛谷 こわたに 氏名
34,20447,剛谷,ゴウタニ,,剛谷 ごうたに 氏名
35,20448,剛迫,ゴウサコ,,剛迫 ごうさこ 氏名
36,20450,剣乃,ケンノ,,剣乃 けんの 氏名
37,20451,剣吉,ケンヨシ,,剣吉 けんよし 氏名
38,20452,剣城,ケンジョウ,,剣城 けんじょう 氏名
39,20453,剣岳,ケンガク,,剣岳 けんがく 氏名
40,20455,剣嵜,ケンザキ,,剣嵜 けんざき 氏名
41,20457,剣本,ケンモト,,剣本 けんもと 氏名
42,20458,剣村,ケンムラ,,剣村 けんむら 氏名
43,20459,剣淵,ケンブチ,,剣淵 けんぶち 氏名
44,20460,剣熊,ケンクマ,,剣熊 けんくま 氏名
45,20462,剣田,ケンダ,,剣田 けんだ 氏名
46,20462,剣田,ツルギダ,,剣田 つるぎだ 氏名
47,20463,剣荘,ケンソウ,,剣荘 けんそう 氏名
48,20464,剣菱,ケンビシ,,剣菱 けんびし 氏名
49,20465,剣重,ケンジュウ,,剣重 けんじゅう 氏名
50,20466,剤藤,サイトウ,,剤藤 さいとう 氏名
51,20467,剥岩,ハギイワ,,剥岩 はぎいわ 氏名
52,20468,剥田,ムクタ,,剥田 むくた 氏名
53,20469,副井,フクイ,,副井 ふくい 氏名
54,20470,副住,フクズミ,,副住 ふくずみ 氏名
55,20471,副山,ソエヤマ,,副山 そえやま 氏名
56,20472,副嶋,ソエジマ,,副嶋 そえじま 氏名
57,20473,副松,ソエマツ,,副松 そえまつ 氏名
58,20474,副枝,ソエダ,,副枝 そえだ 氏名
59,20476,副角,ソエズミ,,副角 そえずみ 氏名
60,20477,副重,ソエシゲ,,副重 そえしげ 氏名
61,20478,副野,ソエノ,,副野 そえの 氏名
62,20478,副野,フクノ,,副野 ふくの 氏名
63,20479,副馬,フクマ,,副馬 ふくま 氏名
64,20480,剱,ケン,,剱 けん 氏名
65,20481,剱吉,ケンヨシ,,剱吉 けんよし 氏名
66,20482,剱地,ケンチ,,剱地 けんち 氏名
67,20482,剱地,ツルギチ,,剱地 つるぎち 氏名
68,20483,剱宝,ケンポウ,,剱宝 けんぽう 氏名
69,20484,剱山,ケンザン,,剱山 けんざん 氏名
70,20485,剱形,ケンガタ,,剱形 けんがた 氏名
71,20488,剱本,ケンモト,,剱本 けんもと 氏名
72,20489,剱村,ケンムラ,,剱村 けんむら 氏名
73,20490,剱物,ケンモツ,,剱物 けんもつ 氏名
74,20491,剱田,ケンダ,,剱田 けんだ 氏名
75,20491,剱田,ツルギダ,,剱田 つるぎだ 氏名
76,20492,剱菱,ケンビシ,,剱菱 けんびし 氏名
77,20493,剱重,ケンジュウ,,剱重 けんじゅう 氏名
78,20494,割ケ谷,ワリガヤ,,割ケ谷 わりがや 氏名
79,20495,割場,ワリバ,,割場 わりば 氏名
80,20496,割塚,ワリズカ,,割塚 わりずか 氏名
81,20497,割子田,ワリコダ,,割子田 わりこだ 氏名
82,20498,割山,ワリヤマ,,割山 わりやま 氏名
83,20499,割岩,ワリイワ,,割岩 わりいわ 氏名
84,20500,割崎,ワリサキ,,割崎 わりさき 氏名
85,20500,割崎,ワリザキ,,割崎 わりざき 氏名
86,20501,割柏,ワリカシ,,割柏 わりかし 氏名
87,20501,割柏,ワリガシ,,割柏 わりがし 氏名
88,20502,割栢,ワリガヤ,,割栢 わりがや 氏名
89,20503,割橋,ワリハシ,,割橋 わりはし 氏名
90,20504,割沢,ワリサワ,,割沢 わりさわ 氏名
91,20504,割沢,ワルサワ,,割沢 わるさわ 氏名
92,20505,割澤,ワルサワ,,割澤 わるさわ 氏名
93,20506,割瀬,ワリセ,,割瀬 わりせ 氏名
94,20509,割舟,ワリフネ,,割舟 わりふね 氏名
95,20510,割船,ワリフネ,,割船 わりふね 氏名
96,20512,割貝,ワリカイ,,割貝 わりかい 氏名
97,20512,割貝,ワリガイ,,割貝 わりがい 氏名
98,20513,割込,ワリコミ,,割込 わりこみ 氏名
99,20514,割野,ワリノ,,割野 わりの 氏名
100,20515,割鞘,ワリサヤ,,割鞘 わりさや 氏名
101,20515,割鞘,ワリザヤ,,割鞘 わりざや 氏名
102,20516,創地,ソウチ,,創地 そうち 氏名
103,20517,創木,ハツキ,,創木 はつき 氏名
104,20518,劉崎,リュウザキ,,劉崎 りゅうざき 氏名
105,20519,劉本,リュウモト,,劉本 りゅうもと 氏名
106,20520,劍持,ケンモチ,,劍持 けんもち 氏名
107,20520,劍持,ケンモツ,,劍持 けんもつ 氏名
108,20521,劒,ツルギ,,劒 つるぎ 氏名
109,20522,劒地,ケンチ,,劒地 けんち 氏名
110,20522,劒地,ツルギチ,,劒地 つるぎち 氏名
111,20523,劒持,ケンモチ,,劒持 けんもち 氏名
112,20524,劒木,ケンノキ,,劒木 けんのき 氏名
113,20525,劒田,ケンダ,,劒田 けんだ 氏名
114,20525,劒田,ツルギダ,,劒田 つるぎだ 氏名
115,20526,劒重,ケンジュウ,,劒重 けんじゅう 氏名
116,20528,劔吉,ケンヨシ,,劔吉 けんよし 氏名
117,20529,劔地,ケンチ,,劔地 けんち 氏名
118,20529,劔地,ツルギチ,,劔地 つるぎち 氏名
119,20530,劔崎,ケンザキ,,劔崎 けんざき 氏名
120,20532,劔木,ケンノキ,,劔木 けんのき 氏名
121,20533,劔村,ケンムラ,,劔村 けんむら 氏名
122,20534,劔物,ケンモツ,,劔物 けんもつ 氏名
123,20535,劔重,ケンジュウ,,劔重 けんじゅう 氏名
124,20536,力万,リキマン,,力万 りきまん 氏名
125,20539,力元,チカモト,,力元 ちかもと 氏名
126,20540,力前,リキゼン,,力前 りきぜん 氏名
127,20541,力善,リキゼン,,力善 りきぜん 氏名
128,20543,力宗,リキソウ,,力宗 りきそう 氏名
129,20546,力岡,リキオカ,,力岡 りきおか 氏名
130,20547,力島,リキシマ,,力島 りきしま 氏名
131,20548,力広,リキヒロ,,力広 りきひろ 氏名
132,20549,力弓,チカラユミ,,力弓 ちからゆみ 氏名
133,20550,力徳,リキトク,,力徳 りきとく 氏名
134,20551,力月,リキヅキ,,力月 りきづき 氏名
135,20552,力本,リキモト,,力本 りきもと 氏名
136,20553,力村,リキムラ,,力村 りきむら 氏名
137,20554,力栄,リキエイ,,力栄 りきえい 氏名
138,20555,力根,リキネ,,力根 りきね 氏名
139,20556,力植,リキウエ,,力植 りきうえ 氏名
140,20558,力永,リキナガ,,力永 りきなが 氏名
141,20559,力江,リキエ,,力江 りきえ 氏名
142,20561,力田,リキタ,,力田 りきた 氏名
143,20561,力田,リキダ,,力田 りきだ 氏名
144,20562,力真,リキシン,,力真 りきしん 氏名
145,20564,力竹,リキタケ,,力竹 りきたけ 氏名
146,20565,力谷,チカタニ,,力谷 ちかたに 氏名
147,20565,力谷,リキタニ,,力谷 りきたに 氏名
148,20566,力身,リキミ,,力身 りきみ 氏名
149,20567,力重,リキシゲ,,力重 りきしげ 氏名
150,20568,力野,リキノ,,力野 りきの 氏名
151,20569,力間,リキマ,,力間 りきま 氏名
152,20570,力頭,リキトウ,,力頭 りきとう 氏名
153,20571,力馬,リキマ,,力馬 りきま 氏名
154,20572,功刃,クヌギ,,功刃 くぬぎ 氏名
155,20573,功家,コウケ,,功家 こうけ 氏名
156,20575,加々,カガ,,加々 かが 氏名
157,20576,加々井,カガイ,,加々井 かがい 氏名
158,20577,加々宮,カガミヤ,,加々宮 かがみや 氏名
159,20578,加々尾,カガオ,,加々尾 かがお 氏名
160,20579,加々山,カガヤマ,,加々山 かがやま 氏名
161,20580,加々島,カガシマ,,加々島 かがしま 氏名
162,20581,加々崎,カガサキ,,加々崎 かがさき 氏名
163,20582,加々本,カガモト,,加々本 かがもと 氏名
164,20583,加々村,カガムラ,,加々村 かがむら 氏名
165,20584,加々爪,カガツメ,,加々爪 かがつめ 氏名
166,20584,加々爪,カガヅメ,,加々爪 かがづめ 氏名
167,20585,加々田,カガタ,,加々田 かがた 氏名
168,20586,加々羅,カガラ,,加々羅 かがら 氏名
169,20587,加々良,カカラ,,加々良 かから 氏名
170,20587,加々良,カガラ,,加々良 かがら 氏名
171,20590,加々路,カガジ,,加々路 かがじ 氏名
172,20591,加々野井,カガノイ,,加々野井 かがのい 氏名
173,20592,加ケ崎,カガサキ,,加ケ崎 かがさき 氏名
174,20593,加ケ嵜,カガサキ,,加ケ嵜 かがさき 氏名
175,20595,加三,カサン,,加三 かさん 氏名
176,20596,加下,カゲ,,加下 かげ 氏名
177,20596,加下,カシタ,,加下 かした 氏名
178,20597,加下井,カゲイ,,加下井 かげい 氏名
179,20598,加世,カセ,,加世 かせ 氏名
180,20599,加世井,カセイ,,加世井 かせい 氏名
