batch_index,id,surface,pronunciation,rank,query
0,113,佐伯,サエキノ,113,佐伯 さえきの 氏名
1,1659,柳瀬,ヤナギセ,1655,柳瀬 やなぎせ 氏名
2,2784,瑞木,ズイキ,2615,瑞木 ずいき 氏名
3,3304,猿渡,エンドウ,3073,猿渡 えんどう 氏名
4,3373,米元,コメモト,3073,米元 こめもと 氏名
5,3388,肥塚,コイヅカ,3073,肥塚 こいづか 氏名
6,4011,海谷,カイタニ,3725,海谷 かいたに 氏名
7,4133,立見,タチミ,3725,立見 たちみ 氏名
8,4285,道家,ミチイエ,3725,道家 みちいえ 氏名
9,4594,十田,ジュウダ,3725,十田 じゅうだ 氏名
10,4618,叶井,カノイ,4707,叶井 かのい 氏名
11,4626,吉谷,ヨシガイ,4707,吉谷 よしがい 氏名
12,4765,小柳津,オヤイヅ,4707,小柳津 おやいづ 氏名
13,5179,熨斗谷,ノシタニ,4707,熨斗谷 のしたに 氏名
14,5184,牛奥,ウシオク,4707,牛奥 うしおく 氏名
15,5259,福積,フクズミ,4707,福積 ふくずみ 氏名
16,5501,鎧塚,ヨロイツカ,4707,鎧塚 よろいつか 氏名
17,5549,面高,オモタカ,4707,面高 おもたか 氏名
18,5755,五十嶺,イズミネ,6189,五十嶺 いずみね 氏名
19,5946,勅使瓦,テシガワラ,6189,勅使瓦 てしがわら 氏名
20,6033,吹上,フキガミ,6189,吹上 ふきがみ 氏名
21,6183,天達,アマダツ,6189,天達 あまだつ 氏名
22,6280,小管,コスガ,6189,小管 こすが 氏名
23,6359,川那子,カワナコ,6189,川那子 かわなこ 氏名
24,6431,御守,オンモリ,6189,御守 おんもり 氏名
25,6501,文田,ブンダ,6189,文田 ぶんだ 氏名
26,6520,新良,ニイラ,6189,新良 にいら 氏名
27,6531,早戸,ハヤト,6189,早戸 はやと 氏名
28,6611,村佐,ムラサ,6189,村佐 むらさ 氏名
29,6616,来嶋,クルシマ,6189,来嶋 くるしま 氏名
30,6815,沢谷,サワタニ,6189,沢谷 さわたに 氏名
31,6827,泉井,イズミイ,6189,泉井 いずみい 氏名
32,6864,海老塚,エビヅカ,6189,海老塚 えびづか 氏名
33,6892,湯上,ユカミ,6189,湯上 ゆかみ 氏名
34,6913,瀬尻,セジリ,6189,瀬尻 せじり 氏名
35,7030,矢畑,ヤバタ,6189,矢畑 やばた 氏名
36,7040,石成,イシナリ,6189,石成 いしなり 氏名
37,7128,箕野,ミイノ,6189,箕野 みいの 氏名
38,7163,素根,ソネ,6189,素根 そね 氏名
39,7191,美斉津,ミサイヅ,6189,美斉津 みさいづ 氏名
40,7213,能年,ノウネン,6189,能年 のうねん 氏名
41,7246,花家,ハナケ,6189,花家 はなけ 氏名
42,7250,苗加,ノカ,6189,苗加 のか 氏名
43,7257,草田,ソウタ,6189,草田 そうた 氏名
44,7261,荷見,カミ,6189,荷見 かみ 氏名
45,7284,蒲野,ガマノ,6189,蒲野 がまの 氏名
46,7294,薄,ウスキ,6189,薄 うすき 氏名
47,7339,見木,ケンモク,6189,見木 けんもく 氏名
48,7349,計屋,ハカリヤ,6189,計屋 はかりや 氏名
49,7416,造田,ゾウダ,6189,造田 ぞうだ 氏名
50,7433,采谷,ウネタニ,6189,采谷 うねたに 氏名
51,7447,野橋,ノバシ,6189,野橋 のばし 氏名
52,7468,鉄炮塚,テッポウヅカ,6189,鉄炮塚 てっぽうづか 氏名
53,7489,長洞,ナガホラ,6189,長洞 ながほら 氏名
54,7523,難波江,ナンバエ,6189,難波江 なんばえ 氏名
55,7524,雨堤,アマツツミ,6189,雨堤 あまつつみ 氏名
56,7525,雨谷,アマタニ,6189,雨谷 あまたに 氏名
57,7610,鶴渕,ツルブチ,6189,鶴渕 つるぶち 氏名
58,7655,一ツ木,ヒトツギ,,一ツ木 ひとつぎ 氏名
59,7656,一ツ松,ヒトツマツ,,一ツ松 ひとつまつ 氏名
60,7662,一ツ矢,ヒトツヤ,,一ツ矢 ひとつや 氏名
61,7686,一ノ清,イチノセ,,一ノ清 いちのせ 氏名
62,7694,一丁田,イッチョウダ,,一丁田 いっちょうだ 氏名
63,7703,一久保,イチクボ,,一久保 いちくぼ 氏名
64,7722,一兜,イチカブト,,一兜 いちかぶと 氏名
65,7740,一后,イチゴ,,一后 いちご 氏名
66,7744,一和多,イチワタ,,一和多 いちわた 氏名
67,7745,一和田,イチワダ,,一和田 いちわだ 氏名
68,7751,一坊寺,イチボウジ,,一坊寺 いちぼうじ 氏名
69,7751,一坊寺,イッポウジ,,一坊寺 いっぽうじ 氏名
70,7772,一居,イチイ,,一居 いちい 氏名
71,7797,一星,イチボシ,,一星 いちぼし 氏名
72,8243,三ツ沼,ミツヌマ,,三ツ沼 みつぬま 氏名
73,8247,三ツ浪,ミツナミ,,三ツ浪 みつなみ 氏名
74,8250,三ツ澤,ミツザワ,,三ツ澤 みつざわ 氏名
75,8255,三ツ目,ミツメ,,三ツ目 みつめ 氏名
76,8259,三ツ角,ミツカド,,三ツ角 みつかど 氏名
77,8278,三中西,サンナカニシ,,三中西 さんなかにし 氏名
78,8289,三亀,ミカメ,,三亀 みかめ 氏名
79,8332,三僮,ミドウ,,三僮 みどう 氏名
80,8339,三入,サンニュウ,,三入 さんにゅう 氏名
81,8343,三冨,サントミ,,三冨 さんとみ 氏名
82,8344,三冨士,ミフジ,,三冨士 みふじ 氏名
83,8356,三加,サンガ,,三加 さんが 氏名
84,8356,三加,ミカ,,三加 みか 氏名
85,8358,三勢,ミセ,,三勢 みせ 氏名
86,8468,三山口,ミヤマグチ,,三山口 みやまぐち 氏名
87,8481,三市,ミイチ,,三市 みいち 氏名
88,8559,三枚堂,サンマイドウ,,三枚堂 さんまいどう 氏名
89,8611,三沖,ミオキ,,三沖 みおき 氏名
90,8625,三津家,ミツヤ,,三津家 みつや 氏名
91,8788,三角園,ミスミゾノ,,三角園 みすみぞの 氏名
92,8807,三貝,ミカイ,,三貝 みかい 氏名
93,8828,三迫,ミサコ,,三迫 みさこ 氏名
94,8956,上中谷,カミナカヤ,,上中谷 かみなかや 氏名
95,8959,上丸,カミマル,,上丸 かみまる 氏名
