batch_index,id,surface,pronunciation,rank,query
0,15035,仲条,チュウジョウ,,仲条 ちゅうじょう 氏名
1,15036,仲東,ナカヒガシ,,仲東 なかひがし 氏名
2,15039,仲柄,ナカガラ,,仲柄 なかがら 氏名
3,15040,仲柴,ナカシバ,,仲柴 なかしば 氏名
4,15041,仲栄,ナカエ,,仲栄 なかえ 氏名
5,15042,仲栄眞,ナカエマ,,仲栄眞 なかえま 氏名
6,15043,仲栄真,ナカエマ,,仲栄真 なかえま 氏名
7,15045,仲桃原,ナカトウバル,,仲桃原 なかとうばる 氏名
8,15046,仲桐,ナカギリ,,仲桐 なかぎり 氏名
9,15047,仲桝,ナカマス,,仲桝 なかます 氏名
10,15050,仲植,ナカウエ,,仲植 なかうえ 氏名
11,15051,仲榮,ナカエ,,仲榮 なかえ 氏名
12,15052,仲榮眞,ナカエマ,,仲榮眞 なかえま 氏名
13,15053,仲榮真,ナカエマ,,仲榮真 なかえま 氏名
14,15055,仲正,ナカショウ,,仲正 なかしょう 氏名
15,15056,仲正路,ナカショウジ,,仲正路 なかしょうじ 氏名
16,15058,仲氏,ナカウジ,,仲氏 なかうじ 氏名
17,15059,仲求,ナカモト,,仲求 なかもと 氏名
18,15061,仲江川,ナカエガワ,,仲江川 なかえがわ 氏名
19,15062,仲江間,ナカエマ,,仲江間 なかえま 氏名
20,15063,仲池,ナカイケ,,仲池 なかいけ 氏名
21,15064,仲池上,ナカイケガミ,,仲池上 なかいけがみ 氏名
22,15066,仲河原,ナカガワラ,,仲河原 なかがわら 氏名
23,15067,仲沼,ナカヌマ,,仲沼 なかぬま 氏名
24,15069,仲泊,ナカトマリ,,仲泊 なかとまり 氏名
25,15070,仲波,ナカナミ,,仲波 なかなみ 氏名
26,15071,仲波名,ナカハナ,,仲波名 なかはな 氏名
27,15072,仲津山,ナカツヤマ,,仲津山 なかつやま 氏名
28,15073,仲津川,ナカツガワ,,仲津川 なかつがわ 氏名
29,15074,仲津留,ナカツル,,仲津留 なかつる 氏名
30,15075,仲浜,ナカハマ,,仲浜 なかはま 氏名
31,15076,仲浦,ナカウラ,,仲浦 なかうら 氏名
32,15077,仲渡,ナカワタリ,,仲渡 なかわたり 氏名
33,15078,仲溝,ナカミゾ,,仲溝 なかみぞ 氏名
34,15079,仲濱,ナカハマ,,仲濱 なかはま 氏名
35,15081,仲牧,ナカマキ,,仲牧 なかまき 氏名
36,15082,仲玉栄,ナカタマエ,,仲玉栄 なかたまえ 氏名
37,15083,仲由,ナカヨシ,,仲由 なかよし 氏名
38,15086,仲白保,ナカシラホ,,仲白保 なかしらほ 氏名
39,15087,仲皿,ナカサラ,,仲皿 なかさら 氏名
40,15087,仲皿,ナカザラ,,仲皿 なかざら 氏名
41,15088,仲盛,ナカモリ,,仲盛 なかもり 氏名
42,15089,仲眞,ナカマ,,仲眞 なかま 氏名
43,15090,仲真,ナカシン,,仲真 なかしん 氏名
44,15091,仲真次,ナカマシ,,仲真次 なかまし 氏名
45,15093,仲知,ナカチ,,仲知 なかち 氏名
46,15094,仲石,ナカイシ,,仲石 なかいし 氏名
47,15095,仲磨,ナカマ,,仲磨 なかま 氏名
48,15097,仲祢,ナカネ,,仲祢 なかね 氏名
49,15098,仲程,ナカボト,,仲程 なかぼと 氏名
50,15099,仲窪,ナカクボ,,仲窪 なかくぼ 氏名
51,15101,仲篠,ナカジョウ,,仲篠 なかじょう 氏名
52,15102,仲米,ナカヨネ,,仲米 なかよね 氏名
53,15103,仲納林,チュウナバヤシ,,仲納林 ちゅうなばやし 氏名
54,15104,仲絵,ナカエ,,仲絵 なかえ 氏名
55,15105,仲義,ナカギ,,仲義 なかぎ 氏名
56,15107,仲臺,ナカダイ,,仲臺 なかだい 氏名
57,15108,仲舎,ナカヤ,,仲舎 なかや 氏名
58,15109,仲舘,ナカダテ,,仲舘 なかだて 氏名
59,15110,仲舛,ナカマス,,仲舛 なかます 氏名
60,15111,仲舟井,ナカフナイ,,仲舟井 なかふない 氏名
61,15113,仲茎,ナカグキ,,仲茎 なかぐき 氏名
62,15114,仲葉,ナカバ,,仲葉 なかば 氏名
63,15115,仲薮,ナカヤブ,,仲薮 なかやぶ 氏名
64,15117,仲藪,ナカヤブ,,仲藪 なかやぶ 氏名
65,15118,仲行,ナカユキ,,仲行 なかゆき 氏名
66,15119,仲表,ナカオモテ,,仲表 なかおもて 氏名
67,15122,仲角,ナカスミ,,仲角 なかすみ 氏名
68,15122,仲角,ナカズミ,,仲角 なかずみ 氏名
69,15123,仲谷内,ナカヤチ,,仲谷内 なかやち 氏名
70,15125,仲越,ナカゴシ,,仲越 なかごし 氏名
71,15128,仲込,ナカゴメ,,仲込 なかごめ 氏名
72,15130,仲邨,ナカムラ,,仲邨 なかむら 氏名
73,15131,仲部,ナカベ,,仲部 なかべ 氏名
74,15132,仲重,ナカシゲ,,仲重 なかしげ 氏名
75,15133,仲野内,ナカノウチ,,仲野内 なかのうち 氏名
76,15135,仲野間,ナカノマ,,仲野間 なかのま 氏名
77,15137,仲長,ナカオサ,,仲長 なかおさ 氏名
78,15137,仲長,ナカチョウ,,仲長 なかちょう 氏名
79,15138,仲門,ナカジョウ,,仲門 なかじょう 氏名
80,15138,仲門,ナカモン,,仲門 なかもん 氏名
81,15139,仲静,ナカシズ,,仲静 なかしず 氏名
82,15140,仲順,ナカジュン,,仲順 なかじゅん 氏名
83,15141,仲須,ナカス,,仲須 なかす 氏名
84,15141,仲須,ナカズ,,仲須 なかず 氏名
85,15142,仲館,ナカダテ,,仲館 なかだて 氏名
86,15143,仲馬,ナカウマ,,仲馬 なかうま 氏名
87,15144,仲高,ナカタカ,,仲高 なかたか 氏名
88,15145,仲麻,ナカマ,,仲麻 なかま 氏名
89,15146,仲黒島,ナカクロシマ,,仲黒島 なかくろしま 氏名
90,15147,任,セリナ,,任 せりな 氏名
91,15148,任介,トウスケ,,任介 とうすけ 氏名
92,15149,任住,ニズミ,,任住 にずみ 氏名
93,15150,任勢,マカセ,,任勢 まかせ 氏名
94,15151,任堂,トウドウ,,任堂 とうどう 氏名
95,15152,任海,トウミ,,任海 とうみ 氏名
96,15153,任補,ニブ,,任補 にぶ 氏名
97,15155,企救岳,キクタケ,,企救岳 きくたけ 氏名
98,15156,伊々田,イイダ,,伊々田 いいだ 氏名
99,15157,伊カ谷,イガタニ,,伊カ谷 いがたに 氏名
100,15159,伊ケ谷,イガタニ,,伊ケ谷 いがたに 氏名
101,15159,伊ケ谷,イガヤ,,伊ケ谷 いがや 氏名
102,15160,伊セ崎,イセザキ,,伊セ崎 いせざき 氏名
103,15161,伊ノ木,イノキ,,伊ノ木 いのき 氏名
104,15164,伊三木,イサキ,,伊三木 いさき 氏名
105,15164,伊三木,イサギ,,伊三木 いさぎ 氏名
106,15165,伊三見,イサミ,,伊三見 いさみ 氏名
107,15166,伊三部,イサベ,,伊三部 いさべ 氏名
108,15167,伊三野,イサノ,,伊三野 いさの 氏名
109,15169,伊下,イノシタ,,伊下 いのした 氏名
110,15170,伊下田,イゲタ,,伊下田 いげた 氏名
111,15173,伊与政,イヨマサ,,伊与政 いよまさ 氏名
112,15175,伊与森,イヨモリ,,伊与森 いよもり 氏名
113,15176,伊与泉,イヨズミ,,伊与泉 いよずみ 氏名
114,15177,伊与部,イヨベノ,,伊与部 いよべの 氏名
115,15179,伊世井,イセイ,,伊世井 いせい 氏名
116,15180,伊世原,イセハラ,,伊世原 いせはら 氏名
117,15181,伊世崎,イセザキ,,伊世崎 いせざき 氏名
118,15182,伊世谷,イセヤ,,伊世谷 いせや 氏名
119,15183,伊並,イナミ,,伊並 いなみ 氏名
120,15184,伊中,イチュウ,,伊中 いちゅう 氏名
121,15186,伊丸,イマル,,伊丸 いまる 氏名
122,15189,伊丹川,イタミガワ,,伊丹川 いたみがわ 氏名
123,15190,伊丹谷,イタミヤ,,伊丹谷 いたみや 氏名
124,15191,伊乃,イノ,,伊乃 いの 氏名
125,15192,伊久地,イクジ,,伊久地 いくじ 氏名
126,15193,伊久山,イクヤマ,,伊久山 いくやま 氏名
127,15194,伊久留,イクル,,伊久留 いくる 氏名
128,15196,伊久良,イクラ,,伊久良 いくら 氏名
129,15198,伊久身,イクミ,,伊久身 いくみ 氏名
130,15200,伊之井,イノイ,,伊之井 いのい 氏名
131,15202,伊之坂,イノサカ,,伊之坂 いのさか 氏名
132,15203,伊之沢,イノサワ,,伊之沢 いのさわ 氏名
133,15204,伊之澤,イノサワ,,伊之澤 いのさわ 氏名
134,15205,伊之瀬,イノセ,,伊之瀬 いのせ 氏名
135,15206,伊之脇,イノワキ,,伊之脇 いのわき 氏名
136,15207,伊了部,イラブ,,伊了部 いらぶ 氏名
137,15208,伊予屋,イヨヤ,,伊予屋 いよや 氏名
138,15209,伊予岡,イヨオカ,,伊予岡 いよおか 氏名
139,15210,伊予島,イヨシマ,,伊予島 いよしま 氏名
140,15210,伊予島,イヨジマ,,伊予島 いよじま 氏名
141,15211,伊予木,イヨキ,,伊予木 いよき 氏名
142,15212,伊予本,イヨモト,,伊予本 いよもと 氏名
143,15213,伊予永,イヨナガ,,伊予永 いよなが 氏名
144,15217,伊予隅,イヨズミ,,伊予隅 いよずみ 氏名
145,15219,伊五澤,イゴサワ,,伊五澤 いごさわ 氏名
146,15220,伊井埜,イイノ,,伊井埜 いいの 氏名
147,15221,伊井塚,イイヅカ,,伊井塚 いいづか 氏名
148,15222,伊井島,イイシマ,,伊井島 いいしま 氏名
149,15222,伊井島,イイジマ,,伊井島 いいじま 氏名
150,15223,伊井沢,イイザワ,,伊井沢 いいざわ 氏名
151,15224,伊井澤,イイザワ,,伊井澤 いいざわ 氏名
152,15225,伊井谷,イイノヤ,,伊井谷 いいのや 氏名
153,15227,伊介,イカイ,,伊介 いかい 氏名
154,15228,伊代住,イヨズミ,,伊代住 いよずみ 氏名
155,15232,伊伏,イブシ,,伊伏 いぶし 氏名
156,15233,伊伝,イデン,,伊伝 いでん 氏名
157,15234,伊住,イスミ,,伊住 いすみ 氏名
158,15235,伊佐冶,イサジ,,伊佐冶 いさじ 氏名
159,15236,伊佐名,イサナ,,伊佐名 いさな 氏名
160,15237,伊佐地,イサチ,,伊佐地 いさち 氏名
