id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope,channel_shared
838,AZKi,AZKi,アズキ,full,vtuber,カバー株式会社,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/AZKi_pr-img_01.webp,https://hololive.hololivepro.com/talents/azki/,Q116936972,AZKi Channel,仮想世界の歌姫として、音楽を通じて新しい世界を創ることを目指す。,1330000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
839,AmaLee,AmaLee,アマリー,full,vtuber,VShojo,2006,current,http://commons.wikimedia.org/wiki/Special:FilePath/AmaLee_Photo_Op_Animate%21_Columbus_2023_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:AmaLee_Photo_Op_Animate%21_Columbus_2023_%28cropped%29.jpg,Q51763739,LeeandLie (AmaLee),歌手、声優、YouTuber、Monarch（モナーク）という名前で活動するバーチャルYouTuber。,2460000,2026-08-18,,,,global,NA
840,AmiYamato,Ami,アミ,family,vtuber,NA,2011,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8971b4c433.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8971b4c433.svg,Q58641635,Ami Yamato,動画の中で、3Dアニメーションキャラクターの体でVlogを行っているが、自身がアニメーションであることに自覚的ではない。,144000,2026-08-18,,,,unknown,NA
840,AmiYamato,Yamato,ヤマト,given,vtuber,NA,2011,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8971b4c433.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8971b4c433.svg,Q58641635,Ami Yamato,動画の中で、3Dアニメーションキャラクターの体でVlogを行っているが、自身がアニメーションであることに自覚的ではない。,144000,2026-08-18,,,,unknown,NA
840,AmiYamato,AmiYamato,アミヤマト,full,vtuber,NA,2011,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8971b4c433.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8971b4c433.svg,Q58641635,Ami Yamato,動画の中で、3Dアニメーションキャラクターの体でVlogを行っているが、自身がアニメーションであることに自覚的ではない。,144000,2026-08-18,,,,unknown,NA
841,CodeMiko,CodeMiko,コードミコ,full,vtuber,NA,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_a477a042d7.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_a477a042d7.svg,Q108866115,CodeMiko,韓国系アメリカ人のTwitchストリーマー、YouTuber。,684000,2026-08-18,,,,unknown,NA
842,EmmaHazyMinami,EmmaHazyMinami,エマ・ヘイジー・ミナミ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_505b726911.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_505b726911.svg,Q65095748,Emma Hazy Minami,動画共有サイトYouTubeを中心に活動するバーチャルYouTuber。,42200,2026-08-18,,,,japan,NA
843,Fra,Fra,フラ,full,vtuber,NA,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_2897b0f236.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_2897b0f236.svg,Q140515798,BOOGEY VOXX -official-,BOOGEY VOXXの活動終了後はソロで音楽活動を行い、作詞提供、楽曲提供、ライブ制作、イベント企画などにも携わっている。,106000,2026-08-18,,,,japan,NA
844,GALDE'rLa,GALDE'rLa,ガルデルラ,full,vtuber,NA,2019,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_2175a023fb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_2175a023fb.svg,Q65107571,GALDE'rLa,バーチャルシンガー、歌手、声優。,11600,2026-08-18,,,,japan,NA
845,KMNZ,KMNZ,ケモノズ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_b91cb9db33.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_b91cb9db33.svg,Q60776006,KMNZ,日本のバーチャルガールズユニット。,304000,2026-08-18,,,,unknown,NA
846,MaiR,MaiR,メア,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_07a34d6048.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_07a34d6048.svg,Q104699777,MaiR,歌配信やカバー動画、オリジナル曲の発表を行い、作詞も手掛けるロックシンガー。,175000,2026-08-18,,,,japan,NA
847,N子・メイ・黒野,N子・メイ・黒野,エヌコメイクロノ,full,vtuber,NA,2021,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_92cbf2186d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_92cbf2186d.svg,Q106712927,Netflix Anime,Netflixの公式バーチャルYouTuber。,2710000,2026-08-18,,,,unknown,NA
848,YuNi,YuNi,ユニ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_3fc3685b43.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_3fc3685b43.svg,Q60459070,YuNi - official channel -,動画共有サイトYouTubeを中心に活動するバーチャルシンガー、バーチャルYouTuber。,383000,2026-08-18,,,,japan,NA
849,▽▲TRiNITY▲▽,▽▲TRiNITY▲▽,トリニティー,full,vtuber,にじさんじ,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_2f76d6ab56.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_2f76d6ab56.svg,Q65293889,鷹宮リオン / Rion Takamiya,鷹宮リオン、葉加瀬冬雪、フレン・E・ルスタリオによるアイドルユニットである。,557000,2026-08-18,,,,japan,NA
850,あやみ,あやみ,アヤミ,full,vtuber,NA,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_f9303a8e34.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_f9303a8e34.svg,Q124480033,ayamy あやみちゃんねる,イラストレーター、バーチャルYouTuber。,128000,2026-08-18,,,,japan,NA
851,いるはーと,いるはーと,イルハート,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_6d927a6f40.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_6d927a6f40.svg,Q60986233,いるはーと,コンパイルハートとMOLDWORKsが共同開発した、日本のバーチャルYouTuber。,21500,2026-08-18,,,,unknown,NA
852,かしこまり,かしこまり,カシコマリ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e79e25777e.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e79e25777e.svg,Q101204743,Mari Channelかしこまり,歌配信を中心に、ゲームや飲酒雑談も行うシンガーソングライター。,112000,2026-08-18,,,,japan,NA
853,がうる・ぐら,がうる・ぐら,ガウル・グラ,full,vtuber,ホロライブプロダクション,2020,former,https://hololive.hololivepro.com/wp-content/uploads/2024/05/Gawr-Gura_pr-img_01.png,https://hololive.hololivepro.com/talents/gawr-gura/,Q100556077,Gawr Gura Ch. hololive-EN,元バーチャルYouTuber、元ゲーム実況者。,4610000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,global,NA
854,こぼ・かなえる,こぼ・かなえる,コボ・カナエル,full,vtuber,ホロライブインドネシア,2022,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Kobo-Kanaeru_pr-img_01.webp,https://hololive.hololivepro.com/talents/kobo-kanaeru/,Q111359713,Kobo Kanaeru Ch. hololive-ID,雨を操るレイン・シャーマンの少女という設定のVTuber。,2780000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,global,NA
855,さえきやひろ,さえきやひろ,サエキヤヒロ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_f8d4361024.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_f8d4361024.svg,Q69402840,さえきやひろのおへや,個人バーチャルYouTuberおよびイラストレーター、デザイナー、3Dモデル制作者。,40100,2026-08-18,,,,japan,NA
856,さくらみこ,さくらみこ,サクラミコ,full,vtuber,カバー株式会社/ホロライブ,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Sakura-Miko_pr-img_01.png,https://hololive.hololivepro.com/talents/sakuramiko/,Q85327517,Miko Ch. さくらみこ,電脳桜神社の巫女という設定で、トップアイドルを目指して活動する。,2450000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
857,しぐれうい,しぐれうい,シグレウイ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0d1fb4ec5b.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0d1fb4ec5b.svg,Q38277951,しぐれうい,ライトノベルの挿絵やキャラクターデザインなどを手掛けるほか、VTuberとしても活動している。,2290000,2026-08-18,,,,japan,NA
858,すもも,すもも,スモモ,full,vtuber,NA,2010,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_642afa2b9a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_642afa2b9a.svg,Q30924627,すももチャンネル,選手経験を生かして多様なゲームを扱い、Twitch配信やYouTube動画を発信する。,206000,2026-08-18,,,,japan,NA
859,すーぱーそに子,すーぱーそに子,スーパーソニコ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0a0c68aed9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0a0c68aed9.svg,Q3504291,すーぱーそに子ちゃんねる,音楽CDやフィギュアなどの販売を始め、多方面に展開されている。,56600,2026-08-18,,,,unknown,NA
860,せんのいのり,せんのいのり,センノイノリ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_1f8413d531.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_1f8413d531.svg,Q109602775,せんのいのり / SennoInori,東北の地域振興を目的に、地域の魅力発信やイベントに取り組むバーチャルタレント。,11900,2026-08-18,,,,japan,NA
861,でびでび・でびる,でびでび・でびる,デビデビ・デビル,full,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/2f4135a1e1954525956b09aa3633ecaa/liver-full-body_Debidebi_Debiru.png.webp,https://www.nijisanji.jp/talents/l/debidebi-debiru,Q84581405,でびでび・でびる,人間に存在を知ってもらうために活動する、異世界の悪魔という設定のライバー。,643000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
862,ときのそら,ときのそら,トキノソラ,full,vtuber,カバー株式会社/ホロライブ/ホロライブプロダクション,2017,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Tokino-Sora_pr-img_01.webp,https://hololive.hololivepro.com/talents/tokino-sora/,Q60649413,SoraCh. ときのそらチャンネル,歌とホラーゲームを好み、ライブやドラマ出演、ラジオMCにも取り組む。,1340000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
863,ななかぐら,ななかぐら,ナナカグラ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_721960ae23.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_721960ae23.svg,Q106318282,カグラナナchannel／ななかぐら,日本のイラストレーター、キャラクターデザイナー。,496000,2026-08-18,,,,japan,NA
864,なび,なび,ナビ,full,vtuber,NA,2024,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_33c4b4382d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_33c4b4382d.svg,Q110403047,nabi,女性イラストレーター、キャラクターデザイナー、バーチャルYouTuber（以下「VTuber」）。,6070,2026-08-18,,,,unknown,NA
