id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope
0,826aska,826aska,ハチニイロクアスカ,full,youtuber,NA,2010,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_1815f7b170.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_1815f7b170.svg,Q28068152,826aska,エレクトーン奏者、YouTuber。,903000,2026-08-15,,,,japan
1,96猫,96猫,クロネコ,full,youtuber,NA,2006,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_3ff217cad3.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_3ff217cad3.svg,Q20058780,【MAIN】96NEKO-CHANNEL,動画共有サービスニコニコ動画の「歌ってみた」で活躍の歌い手。,1210000,2026-08-15,,,,japan
2,ARuFa,ARuFa,アルファ,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0bc71f704a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0bc71f704a.svg,Q43423646,ARuFa,日本のWebライター、ブロガー、音楽家、絵本作家。,1310000,2026-08-15,,,,japan
3,Akidearest,Akidearest,アキディアレスト,full,youtuber,NA,2014,current,http://commons.wikimedia.org/wiki/Special:FilePath/Akidearest_2018.png,https://commons.wikimedia.org/wiki/File:Akidearest_2018.png,Q97495302,akidearest,YouTube動画はアニメ・漫画・日本文化など日本のポップカルチャーをコメディ調に紹介したものが多く見られる。,2840000,2026-08-15,,,,global
4,AlffyRev,Alffy,アルフィー,family,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Alffy_Rev_on_Diary_Crew%2C_2019.jpg,https://commons.wikimedia.org/wiki/File:Alffy_Rev_on_Diary_Crew%2C_2019.jpg,Q97704950,Alffy Rev,EDMなどの電子音楽とインドネシアの伝統音楽・文化的要素を融合した作品で知られる。,3120000,2026-08-15,,,,global
4,AlffyRev,Rev,レヴ,given,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Alffy_Rev_on_Diary_Crew%2C_2019.jpg,https://commons.wikimedia.org/wiki/File:Alffy_Rev_on_Diary_Crew%2C_2019.jpg,Q97704950,Alffy Rev,EDMなどの電子音楽とインドネシアの伝統音楽・文化的要素を融合した作品で知られる。,3120000,2026-08-15,,,,global
4,AlffyRev,AlffyRev,アルフィーレヴ,full,youtuber,NA,NA,current,http://commons.wikimedia.org/wiki/Special:FilePath/Alffy_Rev_on_Diary_Crew%2C_2019.jpg,https://commons.wikimedia.org/wiki/File:Alffy_Rev_on_Diary_Crew%2C_2019.jpg,Q97704950,Alffy Rev,EDMなどの電子音楽とインドネシアの伝統音楽・文化的要素を融合した作品で知られる。,3120000,2026-08-15,,,,global
5,島村絢沙,島村,シマムラ,family,youtuber,East Of Eden,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e784b245dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e784b245dc.svg,,Ayasa channel,ロックバイオリニスト、声優、YouTuber。,548000,2026-08-15,,,,unknown
5,島村絢沙,絢沙,アヤサ,given,youtuber,East Of Eden,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e784b245dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e784b245dc.svg,,Ayasa channel,ロックバイオリニスト、声優、YouTuber。,548000,2026-08-15,,,,unknown
5,島村絢沙,島村絢沙,シマムラアヤサ,full,youtuber,East Of Eden,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e784b245dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e784b245dc.svg,,Ayasa channel,ロックバイオリニスト、声優、YouTuber。,548000,2026-08-15,,,,unknown
6,BucketBanquetBis,BucketBanquetBis,バケット・バンケット・ビス,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_1e30c748fb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_1e30c748fb.svg,Q135485710,Bucket Banquetビスたん,ドラマー、YouTuber。,234000,2026-08-15,,,,japan
7,Butch,Butch,ブッチ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_c1c93e3623.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_c1c93e3623.svg,Q135689538,ビッグウェーブさん (BOB),タレント、イベントMC、YouTuber。,11800,2026-08-15,,,,japan
8,CDawgVA,CDawgVA,シードッグ・ヴィーエー,full,youtuber,NA,2014,current,http://commons.wikimedia.org/wiki/Special:FilePath/CDawgVA_at_SMASH_2022.jpg,https://commons.wikimedia.org/wiki/File:CDawgVA_at_SMASH_2022.jpg,Q99479049,CDawgVA,日本のアニメやコスプレなどオタク文化を始め、ヴィジュアルロック・ホストクラブなどの日本のサブカルチャーに関する動画を多く配信している。,3240000,2026-08-15,,,,global
9,Cr1TiKaL,Cr1TiKaL,クリティカル,full,youtuber,NA,2007,current,http://commons.wikimedia.org/wiki/Special:FilePath/Cr1TiKaL_in_2022.jpg,https://commons.wikimedia.org/wiki/File:Cr1TiKaL_in_2022.jpg,Q98465764,penguinz0,YouTubeでのゲーム実況動画や、モノトーンな声とデッドパンな解説で人気を博した。,18200000,2026-08-15,,,,global
10,DaiGo,DaiGo,ダイゴ,full,youtuber,NA,2013,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88DaiGo.png,https://commons.wikimedia.org/wiki/File:%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%AA%E3%82%B9%E3%83%88DaiGo.png,Q11196499,メンタリスト DaiGo,メンタリスト、ブロガー、ニコ生主、YouTuber。,2210000,2026-08-15,,,,japan
11,Daichi,Daichi,ダイチ,full,youtuber,NA,2009,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_77e98f8425.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_77e98f8425.svg,Q3700878,Daichi Beatboxer,ヒューマンビートボクサー、ボイスパーカッショニスト、YouTuber。,1590000,2026-08-15,,,,japan
12,Etika,Etika,エティカ,full,youtuber,NA,2012,former,http://commons.wikimedia.org/wiki/Special:FilePath/Etika_in_2019_-_2.jpg,https://commons.wikimedia.org/wiki/File:Etika_in_2019_-_2.jpg,Q64825271,TR1Iceman,動画配信者、元モデル。,132000,2026-08-15,,,,global
13,Fernanfloo,Fernanfloo,フェルナンフロウ,full,youtuber,NA,2011,current,http://commons.wikimedia.org/wiki/Special:FilePath/Fernanfloo_Creatour_Social_Media_Day.jpg,https://commons.wikimedia.org/wiki/File:Fernanfloo_Creatour_Social_Media_Day.jpg,Q38202210,Fernanfloo,エルサルバドルのゲーム実況者、YouTuber、Twitcher。,50500000,2026-08-15,,,,global
14,佐藤隆彦,佐藤,サトウ,family,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-15,,,,unknown
14,佐藤隆彦,隆彦,タカヒコ,given,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-15,,,,unknown
14,佐藤隆彦,佐藤隆彦,サトウタカヒコ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_979fcab419.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_979fcab419.svg,,GG佐藤のエラーチャンネル,元プロ野球選手（外野手・内野手、右投右打）、野球解説者。,19400,2026-08-15,,,,unknown
15,GUNMA-17,GUNMA-17,グンマイチナナ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8c0a355080.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8c0a355080.svg,Q97636104,GUNMA-17,自称「リサイクル系YouTuber」。,615000,2026-08-15,,,,japan
16,GabiSklar,Gabi,ガビ,family,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,873000,2026-08-15,,,,global
16,GabiSklar,Sklar,スクラー,given,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,873000,2026-08-15,,,,global
16,GabiSklar,GabiSklar,ガビスクラー,full,youtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_838090b2e0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_838090b2e0.svg,Q131633115,Gabi Sklar,アメリカのシンガーソングライター。,873000,2026-08-15,,,,global
17,GamerGrandma,GamerGrandma,ゲーマーグランマ,full,youtuber,NA,2014,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_1bab51b5f2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_1bab51b5f2.svg,Q97590999,Gamer Grandma,ゲーム実況者。,538000,2026-08-15,,,,japan
18,Genの炊事場,Genの炊事場,ゲンノスイジバ,full,youtuber,NA,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8accf1db11.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8accf1db11.svg,Q125577992,すいじば SUIJIBA,主に料理などを中心とした動画を投稿している。,1510000,2026-08-15,,,,japan
19,HIKAKIN,HIKAKIN,ヒカキン,full,youtuber,吉池,2006,current,http://commons.wikimedia.org/wiki/Special:FilePath/HIKAKIN%28UUUM_FES_2017%29.png,https://commons.wikimedia.org/wiki/File:HIKAKIN%28UUUM_FES_2017%29.png,Q11222605,HikakinTV,慈善活動家、ヒューマンビートボクサー、最高顧問。,19800000,2026-08-15,,,,japan
